Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,2334739646
1122300,ACTIVOS FINANCIEROS CORRIENTES,718473606
1121999,CUENTAS POR COBRAR CORRIENTES,400509040
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,92742925
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,3546465217
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,17530814
1110100,PROPIEDADES PLANTAS Y EQUIPOS,333173896
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,1128086865
1110200,ACTIVOS INTANGIBLES,158380772
1119999,ACTIVO NO CORRIENTE,1637172347
1999999,TOTAL DEL ACTIVO,5183637564
2210999,CAPITAL,8000000
2210300,AJUSTE DE CAPITAL,177119054
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,587982139
2211100,RESERVA LEGAL,11624796
2211200,OTRAS RESERVAS,609820334
2211999,GANANCIAS RESERVADAS,621445130
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,424438463
2213999,RESULTADOS INTEGRALES,2453277523
2299999,TOTAL PATRIMONIO NETO,4272262309
2322200,PASIVOS FINANCIEROS CORRIENTES,0
2321999,CUENTAS POR PAGAR CORRIENTES,332668834
2322100,PASIVOS POR IMPUESTOS CORRIENTES,69470327
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,445684637
2339999,PASIVO CORRIENTE,847823798
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,63551457
2319999,PASIVO NO CORRIENTE,63551457
2399999,TOTAL DEL PASIVO,911375255
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,5183637564
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,351193478
3000200,COSTO DE VENTAS Y/O SERVICIOS,0
3009999,GANANCIA (PERDIDA) BRUTA,351193478
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-1828227
3011300,OTROS GASTOS DE ADMINISTRACION,-184025463
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-4779567
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,20706355
3011600,DEPRECIACIONES Y AMORTIZACIONES,-21891343
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,159375233
3021400,INGRESOS FINANCIEROS,-85279168
3021500,COSTOS FINANCIEROS,27194605
3021800,RECPAM,-16512162
3021900,OTROS RESULTADOS,148750413
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,233528921
3031100,INGRESO (GASTO) POR IMPUESTO A LAS GANANCIAS,-21336197
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,212192724
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-279819
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,211912905
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,109252630
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-116436862
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,56542136
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,49357904
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,26.48911313
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,26.48911313
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIORES,0
8000003,EBIT,351193478
8000004,EBITDA,373084821
8000005,CAPITAL DE TRABAJO,2698641419
8000006,LIQUIDEZ,4.18
8000007,SOLVENCIA,4.69
8000008,INMOVILIACION DEL CAPITAL,0.32
8000009,RENTABILIDAD PATRIMONIO NETO,0.11
8000010,RENTABILIDAD DEL ACTIVO,0.05
8000011,ENDEUDAMIENTO,0.213323806
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.2
8000013,APALANCAMIENTO,1.213323806
8000014,MARGEN NETO / VENTAS,0.60340786
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,13.72
8000017,ANALISIS DU-PONT,0.05
