Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,814692.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,5235966.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,1596108.00
1120100,INVENTARIOS CORRIENTES,806.00
1139999,ACTIVO CORRIENTE,7647572.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,11418.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,27196490.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,4118723.00
1110200,ACTIVOS INTANGIBLES,1053116.00
1119999,ACTIVO NO CORRIENTE,32379747.00
1999999,TOTAL DEL ACTIVO,40027319.00
2210999,CAPITAL,569171.00
2210300,AJUSTE DE CAPITAL,6497953.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,0
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,7589911.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,14657035.00
2322200,PASIVOS FINANCIEROS CORRIENTES,5528291.00
2321999,CUENTAS POR PAGAR CORRIENTES,5488714.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,847822.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,307916.00
2339999,PASIVO CORRIENTE,12172743.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,4781305.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,3320317.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,4167947.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,927972.00
2319999,PASIVO NO CORRIENTE,13197541.00
2399999,TOTAL DEL PASIVO,25370284.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,40027319.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,4910613.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-3709520.00
3009999,GANANCIA (PERDIDA) BRUTA,1201093.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-1387.00
3011300,OTROS GASTOS DE ADMINISTRACION,-451508.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-583302.00
3011400,OTROS GASTOS OPERATIVOS,212452.00
3011100,OTROS INGRESOS,-471571.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-94223.00
3021400,INGRESOS FINANCIEROS,295356.00
3021500,COSTOS FINANCIEROS,-1573551.84
3021800,RECPAM,957455.84
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-414963.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,181072.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-233891.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,43317.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-190574.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,440332.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-696057.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-666775.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-922500.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-0.41
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,14890926.00
8000003,EBIT,-94223.00
8000004,EBITDA,199775.00
8000005,CAPITAL DE TRABAJO,-4525171.00
8000006,LIQUIDEZ,0.63
8000007,SOLVENCIA,0.58
8000008,INMOVILIZACION DEL CAPITAL,0.81
8000009,RENTABILIDAD PATRIMONIO NETO,-0.03
8000010,RENTABILIDAD DEL ACTIVO,-0.01
8000011,ENDEUDAMIENTO,1.73
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.83
8000013,APALANCAMIENTO,2.73
8000014,MARGEN NETO / VENTAS,-0.04
8000015,DEUDA FINANCIERA / EBITDA,51.61
8000016,EBITDA / COSTOS FINANCIEROS,-0.13
8000017,ANALISIS DU-PONT,-0.03
