Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,27803558.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,22250002.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,6609759.00
1120100,INVENTARIOS CORRIENTES,10417016.00
1139999,ACTIVO CORRIENTE,67080335.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,7349563.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,43124718.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,4081296.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,54555577.00
1999999,TOTAL DEL ACTIVO,121635912.00
2210999,CAPITAL,169391.00
2210300,AJUSTE DE CAPITAL,6328779.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,1299634.00
2211200,OTRAS RESERVAS,59127599.00
2211999,GANANCIAS RESERVADAS,60427233.00
2211300,INTERESES NO CONTROLANTES,363236.00
2212999,RESULTADOS NO ASIGNADOS,-3220420.00
2213999,RESULTADOS INTEGRALES,6063820.00
2299999,TOTAL PATRIMONIO NETO,70132039.00
2322200,PASIVOS FINANCIEROS CORRIENTES,26518887.00
2321999,CUENTAS POR PAGAR CORRIENTES,13275570.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,381888.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,6564674.00
2339999,PASIVO CORRIENTE,46741019.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,2042929.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,2529425.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,190500.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,4762854.00
2399999,TOTAL DEL PASIVO,51503873.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,121635912.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,27398538.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-25372796.00
3009999,GANANCIA (PERDIDA) BRUTA,2025742.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-1600477.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-692912.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,749189.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-2181012.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-1699470.00
3021400,INGRESOS FINANCIEROS,8340710.81
3021500,COSTOS FINANCIEROS,-18575471.77
3021800,RECPAM,1715737.96
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-10218493.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,4168972.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-6049521.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,7149052.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,1099531.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,4465307.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,13800103.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-9488910.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,8776500.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,7.65
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,7.65
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,69032508.00
8000003,EBIT,-1699470.00
8000004,EBITDA,481542.00
8000005,CAPITAL DE TRABAJO,20339316.00
8000006,LIQUIDEZ,1.44
8000007,SOLVENCIA,1.36
8000008,INMOVILIZACION DEL CAPITAL,0.45
8000009,RENTABILIDAD PATRIMONIO NETO,-0.15
8000010,RENTABILIDAD DEL ACTIVO,-0.08
8000011,ENDEUDAMIENTO,0.73
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.67
8000013,APALANCAMIENTO,1.73
8000014,MARGEN NETO / VENTAS,0.04
8000015,DEUDA FINANCIERA / EBITDA,59.31
8000016,EBITDA / COSTOS FINANCIEROS,-0.03
8000017,ANALISIS DU-PONT,-0.15
