Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,21552108.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,1385484.00
1121999,CUENTAS POR COBRAR CORRIENTES,14035895.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,5451900.00
1120100,INVENTARIOS CORRIENTES,30145616.00
1139999,ACTIVO CORRIENTE,72571003.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,6370576.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,2491053.00
1110200,ACTIVOS INTANGIBLES,83671.00
1119999,ACTIVO NO CORRIENTE,8945300.00
1999999,TOTAL DEL ACTIVO,81516303.00
2210999,CAPITAL,18000.00
2210300,AJUSTE DE CAPITAL,228365.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,-151274.00
2211100,RESERVA LEGAL,49273.00
2211200,OTRAS RESERVAS,20236440.00
2211999,GANANCIAS RESERVADAS,20285713.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,0
2213999,RESULTADOS INTEGRALES,3808983.00
2299999,TOTAL PATRIMONIO NETO,24189787.00
2322200,PASIVOS FINANCIEROS CORRIENTES,80722.00
2321999,CUENTAS POR PAGAR CORRIENTES,56212697.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,0
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,124676.00
2339999,PASIVO CORRIENTE,56418095.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,40681.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,146489.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,721251.00
2319999,PASIVO NO CORRIENTE,908421.00
2399999,TOTAL DEL PASIVO,57326516.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,81516303.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,78596014.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-65087491.00
3009999,GANANCIA (PERDIDA) BRUTA,13508523.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-2355549.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-5387713.00
3011400,OTROS GASTOS OPERATIVOS,-4203628.00
3011100,OTROS INGRESOS,1364486.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-543308.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,2382811.00
3021400,INGRESOS FINANCIEROS,2076257.00
3021500,COSTOS FINANCIEROS,-1352451.00
3021800,RECPAM,601847.00
3021900,OTROS RESULTADOS,308863.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,4017327.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-208344.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,3808983.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,3808983.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,11696142.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-11408430.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-1242786.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-955074.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,21.16
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,21.16
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,21426852.00
8000003,EBIT,5196299.00
8000004,EBITDA,5739607.00
8000005,CAPITAL DE TRABAJO,16152908.00
8000006,LIQUIDEZ,1.29
8000007,SOLVENCIA,0.42
8000008,INMOVILIZACION DEL CAPITAL,0.11
8000009,RENTABILIDAD PATRIMONIO NETO,0.18
8000010,RENTABILIDAD DEL ACTIVO,0.05
8000011,ENDEUDAMIENTO,2.37
8000012,ENDEUDAMIENTO A CORTO PLAZO,2.33
8000013,APALANCAMIENTO,3.37
8000014,MARGEN NETO / VENTAS,0.05
8000015,DEUDA FINANCIERA / EBITDA,0.02
8000016,EBITDA / COSTOS FINANCIEROS,-4.24
8000017,ANALISIS DU-PONT,0.17
