Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,5282075.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,4553913.00
1121999,CUENTAS POR COBRAR CORRIENTES,2134499.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,7850497.00
1120100,INVENTARIOS CORRIENTES,18932749.00
1139999,ACTIVO CORRIENTE,38753733.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,81521.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,7357739.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,491787.00
1110200,ACTIVOS INTANGIBLES,338291.00
1119999,ACTIVO NO CORRIENTE,8269338.00
1999999,TOTAL DEL ACTIVO,47023071.00
2210999,CAPITAL,49082.00
2210300,AJUSTE DE CAPITAL,336897.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,152004.00
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,85095.00
2211200,OTRAS RESERVAS,2806614.00
2211999,GANANCIAS RESERVADAS,2891709.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,3533997.00
2213999,RESULTADOS INTEGRALES,1728982.00
2299999,TOTAL PATRIMONIO NETO,8692671.00
2322200,PASIVOS FINANCIEROS CORRIENTES,19858331.00
2321999,CUENTAS POR PAGAR CORRIENTES,13597887.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,0
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,4324767.00
2339999,PASIVO CORRIENTE,37780985.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,510538.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,38877.00
2319999,PASIVO NO CORRIENTE,549415.00
2399999,TOTAL DEL PASIVO,38330400.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,47023071.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,119183083.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-116412691.00
3009999,GANANCIA (PERDIDA) BRUTA,2770392.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-27367.00
3011300,OTROS GASTOS DE ADMINISTRACION,-964885.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-1184207.00
3011400,OTROS GASTOS OPERATIVOS,-63578.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-45042.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,485313.00
3021400,INGRESOS FINANCIEROS,7311063.00
3021500,COSTOS FINANCIEROS,-3812202.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,-20547.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,3963627.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-429630.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,3533997.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,271622.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,3805619.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-4355443.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,3348911.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,510587.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-495945.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,72.00
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,72.00
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,7044335.00
8000003,EBIT,464766.00
8000004,EBITDA,933583.00
8000005,CAPITAL DE TRABAJO,972748.00
8000006,LIQUIDEZ,1.03
8000007,SOLVENCIA,0.23
8000008,INMOVILIZACION DEL CAPITAL,0.18
8000009,RENTABILIDAD PATRIMONIO NETO,0.50
8000010,RENTABILIDAD DEL ACTIVO,0.08
8000011,ENDEUDAMIENTO,4.41
8000012,ENDEUDAMIENTO A CORTO PLAZO,4.35
8000013,APALANCAMIENTO,5.41
8000014,MARGEN NETO / VENTAS,0.03
8000015,DEUDA FINANCIERA / EBITDA,21.27
8000016,EBITDA / COSTOS FINANCIEROS,-0.24
8000017,ANALISIS DU-PONT,0.46
