Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,12839931944.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,2226212313.00
1121999,CUENTAS POR COBRAR CORRIENTES,10596369603.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,8863824310.00
1139999,ACTIVO CORRIENTE,34526338170.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,11826468844.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,239979195.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,12066448039.00
1999999,TOTAL DEL ACTIVO,46592786209.00
2210999,CAPITAL,2500000000.00
2210300,AJUSTE DE CAPITAL,24636242572.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,1438075646.00
2211200,OTRAS RESERVAS,6418453840.00
2211999,GANANCIAS RESERVADAS,7856529486.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,269087518.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,35261859576.00
2322200,PASIVOS FINANCIEROS CORRIENTES,2260772868.00
2321999,CUENTAS POR PAGAR CORRIENTES,2957857026.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,1036721679.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,0
2339999,PASIVO CORRIENTE,6255351573.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,5010317756.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,65257304.00
2319999,PASIVO NO CORRIENTE,5075575060.00
2399999,TOTAL DEL PASIVO,11330926633.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,46592786209.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,28822471545.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-26724562733.00
3009999,GANANCIA (PERDIDA) BRUTA,2097908812.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-235226789.00
3011300,OTROS GASTOS DE ADMINISTRACION,-994073022.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-1290160119.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,9183584.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-26389112.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-438756646.00
3021400,INGRESOS FINANCIEROS,0
3021500,COSTOS FINANCIEROS,-1038411739.00
3021800,RECPAM,322944579.00
3021900,OTROS RESULTADOS,-5178295.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-1159402101.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,235424791.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,-923977310.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-923977310.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-923977310.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-3754603707.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-442430419.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,1132416955.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-3064617171.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-1.56
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-0.37
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,35210437357.00
8000003,EBIT,-1199566083.00
8000004,EBITDA,-777024097.00
8000005,CAPITAL DE TRABAJO,28270986597.00
8000006,LIQUIDEZ,5.52
8000007,SOLVENCIA,3.11
8000008,INMOVILIZACION DEL CAPITAL,0.26
8000009,RENTABILIDAD PATRIMONIO NETO,-0.03
8000010,RENTABILIDAD DEL ACTIVO,-0.02
8000011,ENDEUDAMIENTO,0.32
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.18
8000013,APALANCAMIENTO,1.32
8000014,MARGEN NETO / VENTAS,-0.03
8000015,DEUDA FINANCIERA / EBITDA,-2.91
8000016,EBITDA / COSTOS FINANCIEROS,0.75
8000017,ANALISIS DU-PONT,-0.03
8000027,PRUEBA ACIDA,4.10
8000028,COBERTURA DE GASTOS FINANCIEROS,0.42
8000029,ROTACION DE ACTIVOS,0.62
