Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,179128704.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,938330312.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,691368821.00
1120100,INVENTARIOS CORRIENTES,1734199198.00
1139999,ACTIVO CORRIENTE,3543027035.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,1376516415.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,330978253.00
1110200,ACTIVOS INTANGIBLES,25390208.00
1119999,ACTIVO NO CORRIENTE,1732884876.00
1999999,TOTAL DEL ACTIVO,5275911911.00
2210999,CAPITAL,281902018.00
2210300,AJUSTE DE CAPITAL,287287699.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,873922690.00
2211100,RESERVA LEGAL,19215178.00
2211200,OTRAS RESERVAS,493808287.00
2211999,GANANCIAS RESERVADAS,513023465.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,131058229.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,2087194101.00
2322200,PASIVOS FINANCIEROS CORRIENTES,1129734269.00
2321999,CUENTAS POR PAGAR CORRIENTES,1345707807.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,27137698.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,0
2339999,PASIVO CORRIENTE,2502579774.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,227298418.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,111734921.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,347104697.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,686138036.00
2399999,TOTAL DEL PASIVO,3188717810.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,5275911911.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,5455842207.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-4266894784.00
3009999,GANANCIA (PERDIDA) BRUTA,1188947423.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-83547323.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-616128173.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,3770311.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-67811440.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,425230798.00
3021400,INGRESOS FINANCIEROS,101987663.00
3021500,COSTOS FINANCIEROS,-36318553.00
3021800,RECPAM,-244325394.00
3021900,OTROS RESULTADOS,-9402278.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,237172236.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-114170260.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,123001976.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,123001976.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-335621131.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-97294167.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,542335733.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,109420435.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0.50
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,1023044613.00
8000003,EBIT,425230798.00
8000004,EBITDA,493042238.00
8000005,CAPITAL DE TRABAJO,1040447261.00
8000006,LIQUIDEZ,1.42
8000007,SOLVENCIA,0.65
8000008,INMOVILIZACION DEL CAPITAL,0.33
8000009,RENTABILIDAD PATRIMONIO NETO,0.15
8000010,RENTABILIDAD DEL ACTIVO,0.04
8000011,ENDEUDAMIENTO,1.53
8000012,ENDEUDAMIENTO A CORTO PLAZO,1.20
8000013,APALANCAMIENTO,2.53
8000014,MARGEN NETO / VENTAS,0.02
8000015,DEUDA FINANCIERA / EBITDA,2.75
8000016,EBITDA / COSTOS FINANCIEROS,-13.58
8000017,ANALISIS DU-PONT,0.11
