Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,22257383.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,21063076.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,484052.00
1120100,INVENTARIOS CORRIENTES,358854.00
1139999,ACTIVO CORRIENTE,44163365.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,5888176.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,80846506.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,1747456.00
1110200,ACTIVOS INTANGIBLES,5674980.00
1119999,ACTIVO NO CORRIENTE,94157118.00
1999999,TOTAL DEL ACTIVO,138320483.00
2210999,CAPITAL,325540.00
2210300,AJUSTE DE CAPITAL,93083700.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,7695877.00
2211200,OTRAS RESERVAS,92465230.00
2211999,GANANCIAS RESERVADAS,100161107.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-100694965.00
2213999,RESULTADOS INTEGRALES,12325625.00
2299999,TOTAL PATRIMONIO NETO,105201007.00
2322200,PASIVOS FINANCIEROS CORRIENTES,0
2321999,CUENTAS POR PAGAR CORRIENTES,27413638.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,3715969.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,1767908.00
2339999,PASIVO CORRIENTE,32897515.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,62052.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,159909.00
2319999,PASIVO NO CORRIENTE,221961.00
2399999,TOTAL DEL PASIVO,33119476.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,138320483.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,183048500.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-138667352.00
3009999,GANANCIA (PERDIDA) BRUTA,44381148.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-97163.00
3011300,OTROS GASTOS DE ADMINISTRACION,-10341982.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-23864516.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,480473.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-4292168.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,6265792.00
3021400,INGRESOS FINANCIEROS,30626831.00
3021500,COSTOS FINANCIEROS,-7904908.00
3021800,RECPAM,-15262001.00
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,13725714.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-1400089.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,12325625.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,12325625.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,55601820.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-10301577.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-28.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,45300215.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,37.86
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,37.86
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,92875382.00
8000003,EBIT,6265792.00
8000004,EBITDA,12006639.00
8000005,CAPITAL DE TRABAJO,11265850.00
8000006,LIQUIDEZ,1.34
8000007,SOLVENCIA,3.18
8000008,INMOVILIZACION DEL CAPITAL,0.68
8000009,RENTABILIDAD PATRIMONIO NETO,0.14
8000010,RENTABILIDAD DEL ACTIVO,0.10
8000011,ENDEUDAMIENTO,0.31
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.31
8000013,APALANCAMIENTO,1.31
8000014,MARGEN NETO / VENTAS,0.07
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,-1.52
8000017,ANALISIS DU-PONT,0.13
