Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,637.094.916
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,2.856.429.824
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,944.479.097
1120100,INVENTARIOS CORRIENTES,6.785.588.838
1139999,ACTIVO CORRIENTE,11.223.592.675
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,1.031.586.228
1111999,CUENTAS POR COBRAR NO CORRIENTES,277.279.767
1110100,PROPIEDADES PLANTAS Y EQUIPOS,2.884.677.506
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,199.504.068
1110200,ACTIVOS INTANGIBLES,203.183.547
1119999,ACTIVO NO CORRIENTE,4.596.231.116
1999999,TOTAL DEL ACTIVO,15.819.823.791
2210999,CAPITAL,35.300.000
2210300,AJUSTE DE CAPITAL,900.532.975
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,63.481.738
2211200,OTRAS RESERVAS,4.479.033.288
2211999,GANANCIAS RESERVADAS,5.478.348.001
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,192.624.993
2213999,RESULTADOS INTEGRALES,-37.802.390
2299999,TOTAL PATRIMONIO NETO,5.633.170.604
2322200,PASIVOS FINANCIEROS CORRIENTES,3.488.435.341
2321999,CUENTAS POR PAGAR CORRIENTES,5.126.372.297
2322100,PASIVOS POR IMPUESTOS CORRIENTES,45.250.467
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,1.093.585.639
2339999,PASIVO CORRIENTE,9.753.643.744
2312300,PASIVOS FINANCIEROS NO CORRIENTES,288.820.162
2311999,CUENTAS POR PAGAR NO CORRIENTES,88.190.818
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,55.998.463
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,433.009.443
2399999,TOTAL DEL PASIVO,10.186.653.187
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,15.819.823.791
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,5.680.630.332
3000200,COSTO DE VENTAS Y/O SERVICIOS,-4.966.461.295
3009999,GANANCIA (PERDIDA) BRUTA,714.169.037
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-346.456.078
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-458.141.663
3011400,OTROS GASTOS OPERATIVOS,-37.212.875
3011100,OTROS INGRESOS,-89.949.186
3011600,DEPRECIACIONES Y AMORTIZACIONES,-42.141.024
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-259.731.789
3021400,INGRESOS FINANCIEROS,821.082.650
3021500,COSTOS FINANCIEROS,-1.239.715.770
3021800,RECPAM,543.620.081
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-134.744.828
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-244.985.696
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-379.730.524
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,79.865.113
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-299.865.411
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,1.293.057.994
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-90.757.305
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-2.004.362.934
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-802.062.245
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-8.49
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-8.49
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,8.883.395.648
8000003,EBIT,-259.731.789
8000004,EBITDA,-19.435.037
