Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,30609452.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,22353989.00
1121999,CUENTAS POR COBRAR CORRIENTES,1983302.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,5520560.00
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,60467303.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,3688577.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,711439895.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,0
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,715128472.00
1999999,TOTAL DEL ACTIVO,775595775.00
2210999,CAPITAL,3150000.00
2210300,AJUSTE DE CAPITAL,244105973.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,15572079.00
2211200,OTRAS RESERVAS,342784375.00
2211999,GANANCIAS RESERVADAS,358356454.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-16541477.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,589070950.00
2322200,PASIVOS FINANCIEROS CORRIENTES,0
2321999,CUENTAS POR PAGAR CORRIENTES,351001.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,1040101.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,7188799.00
2339999,PASIVO CORRIENTE,8579901.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,177944924.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,177944924.00
2399999,TOTAL DEL PASIVO,186524825.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,775595775.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,69496174.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-36708941.00
3009999,GANANCIA (PERDIDA) BRUTA,32787233.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-4095879.00
3011300,OTROS GASTOS DE ADMINISTRACION,-18677820.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,342575.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,10356109.00
3021400,INGRESOS FINANCIEROS,7365600.00
3021500,COSTOS FINANCIEROS,-381423.00
3021800,RECPAM,-31914795.00
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-14574509.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-1966968.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-16541477.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-16541477.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,8087981.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-668807.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-17219919.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-9800745.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-5.25
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-5.25
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,0
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,51887402.00
8000006,LIQUIDEZ,7.05
8000007,SOLVENCIA,3.16
8000008,INMOVILIZACION DEL CAPITAL,0.92
8000009,RENTABILIDAD PATRIMONIO NETO,-0.05
8000010,RENTABILIDAD DEL ACTIVO,-0.02
8000011,ENDEUDAMIENTO,0.32
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.01
8000013,APALANCAMIENTO,1.32
8000014,MARGEN NETO / VENTAS,-0.24
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,-0.02
