Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,32937.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,16307.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,14757.00
1120100,INVENTARIOS CORRIENTES,7654.00
1139999,ACTIVO CORRIENTE,71655.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,137364.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,69744.00
1110200,ACTIVOS INTANGIBLES,44664.00
1119999,ACTIVO NO CORRIENTE,251772.00
1999999,TOTAL DEL ACTIVO,323427.00
2210999,CAPITAL,12.00
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,62.00
2211200,OTRAS RESERVAS,9049.00
2211999,GANANCIAS RESERVADAS,9111.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-4271.00
2213999,RESULTADOS INTEGRALES,80100.00
2299999,TOTAL PATRIMONIO NETO,84952.00
2322200,PASIVOS FINANCIEROS CORRIENTES,15552.00
2321999,CUENTAS POR PAGAR CORRIENTES,21302.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,16324.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,1738.00
2339999,PASIVO CORRIENTE,54916.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,75495.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,96506.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,10191.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,1367.00
2319999,PASIVO NO CORRIENTE,183559.00
2399999,TOTAL DEL PASIVO,238475.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,323427.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,36150.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-16368.00
3009999,GANANCIA (PERDIDA) BRUTA,19782.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-4535.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-4601.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,-49.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,10597.00
3021400,INGRESOS FINANCIEROS,6558.00
3021500,COSTOS FINANCIEROS,-5582.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,11573.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-2639.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,8934.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,8934.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,8921.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,17855.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,0
3241200,TOTAL DE ACTIVIDADES DE INVERSION,0
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,0
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,0
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,0
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,16739.00
8000006,LIQUIDEZ,1.30
8000007,SOLVENCIA,0.36
8000008,INMOVILIZACION DEL CAPITAL,0.78
8000009,RENTABILIDAD PATRIMONIO NETO,0.21
8000010,RENTABILIDAD DEL ACTIVO,0.03
8000011,ENDEUDAMIENTO,2.81
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.65
8000013,APALANCAMIENTO,3.81
8000014,MARGEN NETO / VENTAS,0.49
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,0.11
8000027,PRUEBA ACIDA,1.17
8000028,COBERTURA DE GASTOS FINANCIEROS,-1.90
8000029,ROTACION DE ACTIVOS,0.11
