Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,456197213.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,2308584147.00
1121999,CUENTAS POR COBRAR CORRIENTES,1636101363.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,145618230.00
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,4546500953.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,539656565.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,301757410.00
1110200,ACTIVOS INTANGIBLES,15085029595.00
1119999,ACTIVO NO CORRIENTE,15926443570.00
1999999,TOTAL DEL ACTIVO,20472944523.00
2210999,CAPITAL,110074290.00
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,202583183.00
2211200,OTRAS RESERVAS,4926648452.00
2211999,GANANCIAS RESERVADAS,5129231635.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,2161468479.00
2213999,RESULTADOS INTEGRALES,8270979328.00
2299999,TOTAL PATRIMONIO NETO,15671753732.00
2322200,PASIVOS FINANCIEROS CORRIENTES,0
2321999,CUENTAS POR PAGAR CORRIENTES,1918891472.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,964981537.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,147786437.00
2339999,PASIVO CORRIENTE,3031659446.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,85872331.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,1665973774.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,17685240.00
2319999,PASIVO NO CORRIENTE,1769531345.00
2399999,TOTAL DEL PASIVO,4801190791.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,20472944523.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,9916169500.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-4820261626.00
3009999,GANANCIA (PERDIDA) BRUTA,5095907874.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-950966540.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,-775292133.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,3369649201.00
3021400,INGRESOS FINANCIEROS,714084240.00
3021500,COSTOS FINANCIEROS,-64510767.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,4019222674.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-1857754195.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,2161468479.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,2678279282.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,4839747761.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,0
3241200,TOTAL DE ACTIVIDADES DE INVERSION,0
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,0
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,0
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,0
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,1514841507.00
8000006,LIQUIDEZ,1.50
8000007,SOLVENCIA,3.26
8000008,INMOVILIZACION DEL CAPITAL,0.78
8000009,RENTABILIDAD PATRIMONIO NETO,0.51
8000010,RENTABILIDAD DEL ACTIVO,0.20
8000011,ENDEUDAMIENTO,0.31
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.19
8000013,APALANCAMIENTO,1.31
8000014,MARGEN NETO / VENTAS,0.49
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,0.26
