Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,35953350.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,8625159.00
1121999,CUENTAS POR COBRAR CORRIENTES,271176345.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,13328721.00
1120100,INVENTARIOS CORRIENTES,78111286.00
1139999,ACTIVO CORRIENTE,407194861.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,485824374.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,14900775.00
1110200,ACTIVOS INTANGIBLES,50659933.00
1119999,ACTIVO NO CORRIENTE,551385082.00
1999999,TOTAL DEL ACTIVO,958579943.00
2210999,CAPITAL,14285042.00
2210300,AJUSTE DE CAPITAL,19488226.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,56181260.00
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,106968597.00
2211999,GANANCIAS RESERVADAS,106968597.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-30191581.00
2213999,RESULTADOS INTEGRALES,-8034019.00
2299999,TOTAL PATRIMONIO NETO,158697525.00
2322200,PASIVOS FINANCIEROS CORRIENTES,121309206.00
2321999,CUENTAS POR PAGAR CORRIENTES,97629182.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,16467690.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,134083759.00
2339999,PASIVO CORRIENTE,369489837.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,249924573.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,63213513.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,117254495.00
2319999,PASIVO NO CORRIENTE,430392581.00
2399999,TOTAL DEL PASIVO,799882418.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,958579943.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,245527440.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-223843201.00
3009999,GANANCIA (PERDIDA) BRUTA,21684239.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-13815130.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-10657958.00
3011400,OTROS GASTOS OPERATIVOS,-36979818.00
3011100,OTROS INGRESOS,815798.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-588241.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-39541110.00
3021400,INGRESOS FINANCIEROS,4236984.00
3021500,COSTOS FINANCIEROS,-29800872.00
3021800,RECPAM,27980002.00
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-37124996.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,11963363.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,-25161633.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-25161633.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,308831.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-24852802.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,1183919.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-73492092.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,24646566.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-47661607.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-1.76
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-1.76
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,183550327.00
8000003,EBIT,-39541110.00
8000004,EBITDA,-24855792.00
8000005,CAPITAL DE TRABAJO,37705024.00
8000006,LIQUIDEZ,1.10
8000007,SOLVENCIA,0.20
8000008,INMOVILIZACION DEL CAPITAL,0.58
8000009,RENTABILIDAD PATRIMONIO NETO,-0.15
8000010,RENTABILIDAD DEL ACTIVO,-0.03
8000011,ENDEUDAMIENTO,5.04
8000012,ENDEUDAMIENTO A CORTO PLAZO,2.33
8000013,APALANCAMIENTO,6.04
8000014,MARGEN NETO / VENTAS,-0.10
8000015,DEUDA FINANCIERA / EBITDA,-14.94
8000016,EBITDA / COSTOS FINANCIEROS,0.83
8000017,ANALISIS DU-PONT,-0.16
8000027,PRUEBA ACIDA,0.89
8000028,COBERTURA DE GASTOS FINANCIEROS,1.33
8000029,ROTACION DE ACTIVOS,0.26
