Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,56916.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,116985.00
1121999,CUENTAS POR COBRAR CORRIENTES,520064.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,225532.00
1120100,INVENTARIOS CORRIENTES,360083.00
1139999,ACTIVO CORRIENTE,1279580.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,116461.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,231600.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,0
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,348061.00
1999999,TOTAL DEL ACTIVO,1627641.00
2210999,CAPITAL,3631.00
2210300,AJUSTE DE CAPITAL,41745.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,23548.00
2211100,RESERVA LEGAL,3957.00
2211200,OTRAS RESERVAS,183884.00
2211999,GANANCIAS RESERVADAS,187841.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,76109.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,332874.00
2322200,PASIVOS FINANCIEROS CORRIENTES,434694.00
2321999,CUENTAS POR PAGAR CORRIENTES,329198.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,0
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,35484.00
2339999,PASIVO CORRIENTE,799376.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,466067.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,1134.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,28190.00
2319999,PASIVO NO CORRIENTE,495391.00
2399999,TOTAL DEL PASIVO,1294767.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,1627641.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,1219224.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-957267.00
3009999,GANANCIA (PERDIDA) BRUTA,261957.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-26675.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-116264.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,12666.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-330.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,131354.00
3021400,INGRESOS FINANCIEROS,0
3021500,COSTOS FINANCIEROS,-32179.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,99175.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-25085.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,74090.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,74090.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,119403.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-291094.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,207811.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,36120.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,331870.00
8000003,EBIT,131354.00
8000004,EBITDA,147825.00
8000005,CAPITAL DE TRABAJO,480204.00
8000006,LIQUIDEZ,1.60
8000007,SOLVENCIA,0.26
8000008,INMOVILIZACION DEL CAPITAL,0.21
8000009,RENTABILIDAD PATRIMONIO NETO,0.30
8000010,RENTABILIDAD DEL ACTIVO,0.06
8000011,ENDEUDAMIENTO,3.89
8000012,ENDEUDAMIENTO A CORTO PLAZO,2.40
8000013,APALANCAMIENTO,4.89
8000014,MARGEN NETO / VENTAS,0.06
8000015,DEUDA FINANCIERA / EBITDA,6.09
8000016,EBITDA / COSTOS FINANCIEROS,-4.59
8000017,ANALISIS DU-PONT,0.30
