Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,81769795.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,378679843.00
1121999,CUENTAS POR COBRAR CORRIENTES,1602042540.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,218476908.00
1120100,INVENTARIOS CORRIENTES,180182944.00
1139999,ACTIVO CORRIENTE,2461152030.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,6790604189.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,1098344078.00
1110200,ACTIVOS INTANGIBLES,1044474056.00
1119999,ACTIVO NO CORRIENTE,8933422323.00
1999999,TOTAL DEL ACTIVO,11394574353.00
2210999,CAPITAL,7600000.00
2210300,AJUSTE DE CAPITAL,19084401.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,137599291.00
2210900,OTROS CONCEPTOS DEL CAPITAL,4821555692.00
2211100,RESERVA LEGAL,642552347.00
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,642552347.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-773477354.00
2213999,RESULTADOS INTEGRALES,2457648484.00
2299999,TOTAL PATRIMONIO NETO,7312562861.00
2322200,PASIVOS FINANCIEROS CORRIENTES,0
2321999,CUENTAS POR PAGAR CORRIENTES,221536231.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,448511626.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,1182472270.00
2339999,PASIVO CORRIENTE,1852520127.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,929401475.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,97927663.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,1202162227.00
2319999,PASIVO NO CORRIENTE,2229491365.00
2399999,TOTAL DEL PASIVO,4082011492.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,11394574353.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,6995060445.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-3626544716.00
3009999,GANANCIA (PERDIDA) BRUTA,3368515729.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-411298009.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-1452248999.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,-32522760.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,1472445961.00
3021400,INGRESOS FINANCIEROS,138314064.00
3021500,COSTOS FINANCIEROS,-308194955.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,406337.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,1302971407.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-395562102.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,907409305.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,907409305.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,1511631666.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-1233022249.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-196407937.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,82201480.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,4359810149.00
8000003,EBIT,1726595214.00
8000004,EBITDA,1147633626.00
8000005,CAPITAL DE TRABAJO,608631903.00
8000006,LIQUIDEZ,1.33
8000007,SOLVENCIA,1.79
8000008,INMOVILIZACION DEL CAPITAL,0.78
8000009,RENTABILIDAD PATRIMONIO NETO,0.22
8000010,RENTABILIDAD DEL ACTIVO,0.11
8000011,ENDEUDAMIENTO,0.56
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.25
8000013,APALANCAMIENTO,1.56
8000014,MARGEN NETO / VENTAS,0.13
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,-3.72
8000017,ANALISIS DU-PONT,0.18
