Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,72201662.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,31884445.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,40733272.00
1120100,INVENTARIOS CORRIENTES,15963563.00
1139999,ACTIVO CORRIENTE,160782942.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,3277981678.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,5830351.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,3283812029.00
1999999,TOTAL DEL ACTIVO,3444594971.00
2210999,CAPITAL,2000000.00
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,400000.00
2211200,OTRAS RESERVAS,-26561559.00
2211999,GANANCIAS RESERVADAS,-26161559.00
2211300,INTERESES NO CONTROLANTES,2598144.00
2212999,RESULTADOS NO ASIGNADOS,2172179603.00
2213999,RESULTADOS INTEGRALES,-54463494.00
2299999,TOTAL PATRIMONIO NETO,2096152694.00
2322200,PASIVOS FINANCIEROS CORRIENTES,132915615.00
2321999,CUENTAS POR PAGAR CORRIENTES,89291768.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,0
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,78858373.00
2339999,PASIVO CORRIENTE,301065756.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,195168408.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,640771449.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,211436664.00
2319999,PASIVO NO CORRIENTE,1047376521.00
2399999,TOTAL DEL PASIVO,1348442277.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,3444594971.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,741592427.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-598415235.00
3009999,GANANCIA (PERDIDA) BRUTA,143177192.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-55040269.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-49417346.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,21829484.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,60549061.00
3021400,INGRESOS FINANCIEROS,3838100.00
3021500,COSTOS FINANCIEROS,-56022691.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,7197159.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,15561629.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-9954793.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,5606836.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,5606836.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,0
3241200,TOTAL DE ACTIVIDADES DE INVERSION,0
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,0
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,0
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,0
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,-140282814.00
8000006,LIQUIDEZ,0.53
8000007,SOLVENCIA,1.55
8000008,INMOVILIZACION DEL CAPITAL,0.95
8000009,RENTABILIDAD PATRIMONIO NETO,0.01
8000010,RENTABILIDAD DEL ACTIVO,0.00
8000011,ENDEUDAMIENTO,0.64
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.14
8000013,APALANCAMIENTO,1.64
8000014,MARGEN NETO / VENTAS,0.01
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,0.01
