Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,3820788058.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,16683757901.00
1121999,CUENTAS POR COBRAR CORRIENTES,152668209749.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,12123080445.00
1139999,ACTIVO CORRIENTE,185295836153.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,35571800000.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,20694490478.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,886710450835.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,0
1110200,ACTIVOS INTANGIBLES,747907605.00
1119999,ACTIVO NO CORRIENTE,943724648918.00
1999999,TOTAL DEL ACTIVO,1129020485071.00
2210999,CAPITAL,143933241.00
2210300,AJUSTE DE CAPITAL,73502452525.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,302762100.00
2211200,OTRAS RESERVAS,498051633326.00
2211999,GANANCIAS RESERVADAS,498354395426.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-70928611268.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,501072169924.00
2322200,PASIVOS FINANCIEROS CORRIENTES,89244694444.00
2321999,CUENTAS POR PAGAR CORRIENTES,241966085601.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,4847269747.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,1343401365.00
2339999,PASIVO CORRIENTE,337401451157.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,160841127500.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,74787649570.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,40182567401.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,14735519519.00
2319999,PASIVO NO CORRIENTE,290546863990.00
2399999,TOTAL DEL PASIVO,627948315147.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,1129020485071.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,174049780501.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-142499920220.00
3009999,GANANCIA (PERDIDA) BRUTA,31549860281.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-31111648873.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,-25633500411.00
3011100,OTROS INGRESOS,6052689158.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-269714557.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-19412314402.00
3021400,INGRESOS FINANCIEROS,75273537188.00
3021500,COSTOS FINANCIEROS,-71847505488.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,4257452402.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-11728830300.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-48299474239.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,-60028304539.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-60028304539.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,440397876765.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,380369572226.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,72386091852.10
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-164058241682.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,89914529299.90
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-1757620530.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,120702597698.00
8000003,EBIT,-19412314402.00
8000004,EBITDA,25641449593.00
8000005,CAPITAL DE TRABAJO,-152105615004.00
8000006,LIQUIDEZ,0.55
8000007,SOLVENCIA,0.80
8000008,INMOVILIZACION DEL CAPITAL,0.84
8000009,RENTABILIDAD PATRIMONIO NETO,-0.19
8000010,RENTABILIDAD DEL ACTIVO,-0.05
8000011,ENDEUDAMIENTO,1.25
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.67
8000013,APALANCAMIENTO,2.25
8000014,MARGEN NETO / VENTAS,2.19
8000015,DEUDA FINANCIERA / EBITDA,9.75
8000016,EBITDA / COSTOS FINANCIEROS,-0.36
8000017,ANALISIS DU-PONT,-0.12
8000027,PRUEBA ACIDA,0.51
8000028,COBERTURA DE GASTOS FINANCIEROS,0.27
8000029,ROTACION DE ACTIVOS,0.15
