Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,5241.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,240920.00
1121999,CUENTAS POR COBRAR CORRIENTES,130642.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,31481.00
1120100,INVENTARIOS CORRIENTES,135843.00
1139999,ACTIVO CORRIENTE,544127.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,806313.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,63578.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,869891.00
1999999,TOTAL DEL ACTIVO,1414018.00
2210999,CAPITAL,783.00
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,97935.00
2211200,OTRAS RESERVAS,8006.00
2211999,GANANCIAS RESERVADAS,105941.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,117223.00
2213999,RESULTADOS INTEGRALES,488896.00
2299999,TOTAL PATRIMONIO NETO,712843.00
2322200,PASIVOS FINANCIEROS CORRIENTES,248113.00
2321999,CUENTAS POR PAGAR CORRIENTES,85499.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,39880.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,12622.00
2339999,PASIVO CORRIENTE,386114.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,74724.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,207358.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,32979.00
2319999,PASIVO NO CORRIENTE,315061.00
2399999,TOTAL DEL PASIVO,701175.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,1414018.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,546762.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-287511.00
3009999,GANANCIA (PERDIDA) BRUTA,259251.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-26982.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-53460.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,-5.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-4439.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,174365.00
3021400,INGRESOS FINANCIEROS,2497.00
3021500,COSTOS FINANCIEROS,-33463.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,4594.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,147993.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-62171.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,85822.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,85822.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,180793.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,266615.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,163855.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-141118.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-21978.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,759.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,109.61
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,710582.00
8000003,EBIT,174365.00
8000004,EBITDA,192767.00
8000005,CAPITAL DE TRABAJO,158013.00
8000006,LIQUIDEZ,1.41
8000007,SOLVENCIA,1.02
8000008,INMOVILIZACION DEL CAPITAL,0.62
8000009,RENTABILIDAD PATRIMONIO NETO,0.12
8000010,RENTABILIDAD DEL ACTIVO,0.06
8000011,ENDEUDAMIENTO,0.98
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.54
8000013,APALANCAMIENTO,1.98
8000014,MARGEN NETO / VENTAS,0.49
8000015,DEUDA FINANCIERA / EBITDA,1.67
8000016,EBITDA / COSTOS FINANCIEROS,-5.76
8000017,ANALISIS DU-PONT,0.12
8000027,PRUEBA ACIDA,1.06
8000028,COBERTURA DE GASTOS FINANCIEROS,-5.21
8000029,ROTACION DE ACTIVOS,0.39
