Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,100786.00
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,0
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,8710227.00
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",0
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,262215.00
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,0
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,0
1110100,PROPIEDAD PLANTA Y EQUIPO,0
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",0
1110200,ACTIVOS INTANGIBLES,0
1122300,OTROS ACTIVOS FINANCIEROS,38451.00
1122400,OTROS ACTIVOS NO FINANCIEROS,80765.00
1999999,TOTAL DEL ACTIVO,9192444.00
2210999,CAPITAL,52178.00
2210300,AJUSTE DE CAPITAL,1337695.00
2210500,APORTES NO CAPITALIZADOS,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,736393.00
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,736393.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-17016.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,2109250.00
2311000,DEPOSITOS,1519560.00
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,0
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",3364.00
2311300,PROVISIONES,59290.00
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,5197194.00
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,0
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,0
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,0
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,0
2322300,OTROS PASIVOS NO FINANCIEROS,303786.00
2399999,TOTAL DEL PASIVO,7083194.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,9192444.00
3000100,INGRESOS POR INTERESES,3171539.00
3000200,EGRESOS POR INTERESES,-1907241.00
3000102,INGRESOS POR COMISIONES,3443.00
3000201,EGRESOS POR COMISIONES,-28639.00
3000101,CARGO POR INCOBRABILIDAD,-68218.00
3009999,INGRESO OPERATIVO NETO,1170884.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-2924.00
3011300,OTROS GASTOS DE ADMINISTRACION,-597088.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-4341.00
3021800,RECPAM,-567520.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-989.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-16027.00
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,-17016.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,1.00
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,-17015.00
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,-355070.00
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,0
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,0
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-355070.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),2142632.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,0
8000006,LIQUIDEZ,0
8000007,SOLVENCIA,0.30
8000008,INMOVILIZACION DEL CAPITAL,0
8000009,RENTABILIDAD PATRIMONIO NETO,0.06
8000010,RENTABILIDAD DEL ACTIVO,-0.00
8000011,ENDEUDAMIENTO,3.36
8000013,APALANCAMIENTO,4.36
8000014,MARGEN NETO / INGRESOS,2.96
8000015,DEUDA FINANCIERA / EBITDA,0
8000017,ANALISIS DUPONT,-0.00
