Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,7022027442.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,2775289548.00
1121999,CUENTAS POR COBRAR CORRIENTES,7759023108.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,17556340098.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,76588650.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,3359268.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,87134224.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,77593073.00
1110200,ACTIVOS INTANGIBLES,10537774.00
1119999,ACTIVO NO CORRIENTE,255212989.00
1999999,TOTAL DEL ACTIVO,17811553087.00
2210999,CAPITAL,15592494.00
2210300,AJUSTE DE CAPITAL,179773507.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,39073189.00
2211200,OTRAS RESERVAS,55420334.00
2211999,GANANCIAS RESERVADAS,94493523.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,493757849.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,783617373.00
2322200,PASIVOS FINANCIEROS CORRIENTES,1228616232.00
2321999,CUENTAS POR PAGAR CORRIENTES,15055259735.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,0
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,732841896.00
2339999,PASIVO CORRIENTE,17016717863.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,11217851.00
2319999,PASIVO NO CORRIENTE,11217851.00
2399999,TOTAL DEL PASIVO,17027935714.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,17811553087.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,1677569257.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,0
3009999,GANANCIA (PERDIDA) BRUTA,1677569257.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-74748821.00
3011300,OTROS GASTOS DE ADMINISTRACION,-488799753.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-1287742828.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,778185.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-57151189.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-230095149.00
3021400,INGRESOS FINANCIEROS,1035197111.00
3021500,COSTOS FINANCIEROS,0
3021800,RECPAM,-189318435.00
3021900,OTROS RESULTADOS,39289081.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,655072608.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-161314775.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,493757833.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,493757833.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,0
3241200,TOTAL DE ACTIVIDADES DE INVERSION,0
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,0
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,0
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,0
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,539622235.00
8000006,LIQUIDEZ,1.03
8000007,SOLVENCIA,0.05
8000008,INMOVILIZACION DEL CAPITAL,0.01
8000009,RENTABILIDAD PATRIMONIO NETO,1.67
8000010,RENTABILIDAD DEL ACTIVO,0.04
8000011,ENDEUDAMIENTO,21.73
8000012,ENDEUDAMIENTO A CORTO PLAZO,21.72
8000013,APALANCAMIENTO,22.73
8000014,MARGEN NETO / VENTAS,0.29
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,0.84
