Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,11283.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,47579.00
1121999,CUENTAS POR COBRAR CORRIENTES,26205.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,14687.00
1120100,INVENTARIOS CORRIENTES,15888.00
1139999,ACTIVO CORRIENTE,115642.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,13819.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,7.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,170390.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,92839.00
1110200,ACTIVOS INTANGIBLES,3956.00
1119999,ACTIVO NO CORRIENTE,281011.00
1999999,TOTAL DEL ACTIVO,396653.00
2210999,CAPITAL,1382.00
2210300,AJUSTE DE CAPITAL,7245.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,19737.00
2211100,RESERVA LEGAL,5203.00
2211200,OTRAS RESERVAS,53978.00
2211999,GANANCIAS RESERVADAS,59181.00
2211300,INTERESES NO CONTROLANTES,609.00
2212999,RESULTADOS NO ASIGNADOS,44454.00
2213999,RESULTADOS INTEGRALES,51432.00
2299999,TOTAL PATRIMONIO NETO,184040.00
2322200,PASIVOS FINANCIEROS CORRIENTES,8165.00
2321999,CUENTAS POR PAGAR CORRIENTES,17727.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,2098.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,7117.00
2339999,PASIVO CORRIENTE,35107.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,139630.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,19287.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,18589.00
2319999,PASIVO NO CORRIENTE,177506.00
2399999,TOTAL DEL PASIVO,212613.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,396653.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,144641.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-72168.00
3009999,GANANCIA (PERDIDA) BRUTA,72473.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-634.00
3011300,OTROS GASTOS DE ADMINISTRACION,-8377.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-3153.00
3011400,OTROS GASTOS OPERATIVOS,-5973.00
3011100,OTROS INGRESOS,14634.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-19673.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,49297.00
3021400,INGRESOS FINANCIEROS,847.00
3021500,COSTOS FINANCIEROS,-17512.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,-1545.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,31087.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-7301.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,23786.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,46576.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,70362.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,72029.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-45793.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-31804.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-5568.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,19.29
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,19.29
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,148878.00
8000003,EBIT,56426.00
8000004,EBITDA,76099.00
8000005,CAPITAL DE TRABAJO,80535.00
8000006,LIQUIDEZ,3.29
8000007,SOLVENCIA,0.87
8000008,INMOVILIZACION DEL CAPITAL,0.71
8000009,RENTABILIDAD PATRIMONIO NETO,0.19
8000010,RENTABILIDAD DEL ACTIVO,0.08
8000011,ENDEUDAMIENTO,1.16
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.19
8000013,APALANCAMIENTO,2.16
8000014,MARGEN NETO / VENTAS,0.49
8000015,DEUDA FINANCIERA / EBITDA,1.94
8000016,EBITDA / COSTOS FINANCIEROS,-4.35
8000017,ANALISIS DU-PONT,0.17
