Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,18059.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,3175.00
1121999,CUENTAS POR COBRAR CORRIENTES,12309.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,11411.00
1120100,INVENTARIOS CORRIENTES,25510.00
1139999,ACTIVO CORRIENTE,70464.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,908.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,699695.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,194.00
1110200,ACTIVOS INTANGIBLES,1848.00
1119999,ACTIVO NO CORRIENTE,702645.00
1999999,TOTAL DEL ACTIVO,773109.00
2210999,CAPITAL,222.00
2210300,AJUSTE DE CAPITAL,239.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,25720.00
2211999,GANANCIAS RESERVADAS,25720.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,55437.00
2213999,RESULTADOS INTEGRALES,344027.00
2299999,TOTAL PATRIMONIO NETO,425645.00
2322200,PASIVOS FINANCIEROS CORRIENTES,67248.00
2321999,CUENTAS POR PAGAR CORRIENTES,33828.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,4859.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,6583.00
2339999,PASIVO CORRIENTE,112518.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,74348.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,1707.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,130260.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,28631.00
2319999,PASIVO NO CORRIENTE,234946.00
2399999,TOTAL DEL PASIVO,347464.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,773109.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,201887.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-132565.00
3009999,GANANCIA (PERDIDA) BRUTA,69322.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-13185.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-14164.00
3011400,OTROS GASTOS OPERATIVOS,-1.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,41972.00
3021400,INGRESOS FINANCIEROS,1260.00
3021500,COSTOS FINANCIEROS,-9029.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,1157.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,35360.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-23278.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,12082.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,153216.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,165298.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,84439.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-67444.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-16434.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,561.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,260347.00
8000003,EBIT,41972.00
8000004,EBITDA,80339.00
8000005,CAPITAL DE TRABAJO,-42054.00
8000006,LIQUIDEZ,0.63
8000007,SOLVENCIA,1.23
8000008,INMOVILIZACION DEL CAPITAL,0.91
8000009,RENTABILIDAD PATRIMONIO NETO,0.10
8000010,RENTABILIDAD DEL ACTIVO,0.05
8000011,ENDEUDAMIENTO,0.82
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.26
8000013,APALANCAMIENTO,1.82
8000014,MARGEN NETO / VENTAS,0.82
8000015,DEUDA FINANCIERA / EBITDA,1.76
8000016,EBITDA / COSTOS FINANCIEROS,-8.90
8000017,ANALISIS DU-PONT,0.08
