Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,1085876.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,4826980.00
1121999,CUENTAS POR COBRAR CORRIENTES,6381214.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,1100370.00
1120100,INVENTARIOS CORRIENTES,21003180.00
1139999,ACTIVO CORRIENTE,34397620.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,6955386.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,1303261.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,19151221.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,7316952.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,34726820.00
1999999,TOTAL DEL ACTIVO,69124440.00
2210999,CAPITAL,254293.00
2210300,AJUSTE DE CAPITAL,18174970.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,1349974.00
2211200,OTRAS RESERVAS,13245031.00
2211999,GANANCIAS RESERVADAS,14595005.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,3302336.00
2213999,RESULTADOS INTEGRALES,-279657.00
2299999,TOTAL PATRIMONIO NETO,36046947.00
2322200,PASIVOS FINANCIEROS CORRIENTES,863810.00
2321999,CUENTAS POR PAGAR CORRIENTES,14155425.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,2152195.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,126726.00
2339999,PASIVO CORRIENTE,17298156.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,1845437.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,13835935.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,97965.00
2319999,PASIVO NO CORRIENTE,15779337.00
2399999,TOTAL DEL PASIVO,33077493.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,69124440.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,73313529.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-49878344.00
3009999,GANANCIA (PERDIDA) BRUTA,23435185.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-166516.00
3011300,OTROS GASTOS DE ADMINISTRACION,-2850674.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-3130538.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-176114.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,17111343.00
3021400,INGRESOS FINANCIEROS,10399588.00
3021500,COSTOS FINANCIEROS,-8718999.00
3021800,RECPAM,-5647902.00
3021900,OTROS RESULTADOS,-4164894.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,8979136.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-5676800.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,3302336.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-279657.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,3022679.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,1624205.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-1629187.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-3988118.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-3993100.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0.63
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0.63
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,19258606.00
8000003,EBIT,9229813.00
8000004,EBITDA,11226475.00
8000005,CAPITAL DE TRABAJO,17099464.00
8000006,LIQUIDEZ,1.99
8000007,SOLVENCIA,1.09
8000008,INMOVILIZACION DEL CAPITAL,0.50
8000009,RENTABILIDAD PATRIMONIO NETO,0.32
8000010,RENTABILIDAD DEL ACTIVO,0.13
8000011,ENDEUDAMIENTO,0.92
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.48
8000013,APALANCAMIENTO,1.92
8000014,MARGEN NETO / VENTAS,0.04
8000015,DEUDA FINANCIERA / EBITDA,0.08
8000016,EBITDA / COSTOS FINANCIEROS,-1.29
8000017,ANALISIS DU-PONT,0.25
