Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,769825.83
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,3840994.67
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,3946203.35
1139999,ACTIVO CORRIENTE,8557023.85
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,259008.34
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,0
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,259008.34
1999999,TOTAL DEL ACTIVO,8816032.19
2210999,CAPITAL,630000.00
2210300,AJUSTE DE CAPITAL,3322086.66
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,288689.74
2211200,OTRAS RESERVAS,391131.45
2211999,GANANCIAS RESERVADAS,679821.19
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-244279.37
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,4387628.48
2322200,PASIVOS FINANCIEROS CORRIENTES,0
2321999,CUENTAS POR PAGAR CORRIENTES,3114872.44
2322100,PASIVOS POR IMPUESTOS CORRIENTES,338256.65
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,975274.62
2339999,PASIVO CORRIENTE,4428403.71
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,0
2399999,TOTAL DEL PASIVO,4428403.71
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,8816032.19
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,19668290.71
3000200,COSTO DE VENTAS Y/O SERVICIOS,-15318460.12
3009999,GANANCIA (PERDIDA) BRUTA,4349830.59
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-2351438.37
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-1585646.73
3011400,OTROS GASTOS OPERATIVOS,-193566.15
3011100,OTROS INGRESOS,12632.68
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,231812.02
3021400,INGRESOS FINANCIEROS,0
3021500,COSTOS FINANCIEROS,-476091.39
3021800,RECPAM,0
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-244279.37
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-244279.37
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-244279.37
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,0
3241200,TOTAL DE ACTIVIDADES DE INVERSION,0
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,0
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,0
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,0
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,4128620.14
8000006,LIQUIDEZ,1.93
8000007,SOLVENCIA,0.99
8000008,INMOVILIZACION DEL CAPITAL,0.03
8000009,RENTABILIDAD PATRIMONIO NETO,-0.11
8000010,RENTABILIDAD DEL ACTIVO,-0.03
8000011,ENDEUDAMIENTO,1.01
8000012,ENDEUDAMIENTO A CORTO PLAZO,1.01
8000013,APALANCAMIENTO,2.01
8000014,MARGEN NETO / VENTAS,-0.01
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,-0.06
