Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,782735.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,5567723.00
1121999,CUENTAS POR COBRAR CORRIENTES,1449909.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,281438.00
1120100,INVENTARIOS CORRIENTES,2013876.00
1139999,ACTIVO CORRIENTE,10095681.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,16659897.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,13433672.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,10560141.00
1110200,ACTIVOS INTANGIBLES,130780.00
1119999,ACTIVO NO CORRIENTE,40784490.00
1999999,TOTAL DEL ACTIVO,50880171.00
2210999,CAPITAL,72074.00
2210300,AJUSTE DE CAPITAL,1794085.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,600302.00
2211100,RESERVA LEGAL,145300.00
2211200,OTRAS RESERVAS,12296065.00
2211999,GANANCIAS RESERVADAS,12441365.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-1316519.00
2213999,RESULTADOS INTEGRALES,4267549.00
2299999,TOTAL PATRIMONIO NETO,17858856.00
2322200,PASIVOS FINANCIEROS CORRIENTES,14408450.00
2321999,CUENTAS POR PAGAR CORRIENTES,1475943.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,1017006.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,0
2339999,PASIVO CORRIENTE,16901399.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,13883583.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,2236333.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,16119916.00
2399999,TOTAL DEL PASIVO,33021315.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,50880171.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,9428121.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-6964707.00
3009999,GANANCIA (PERDIDA) BRUTA,2463414.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-49414.00
3011300,OTROS GASTOS DE ADMINISTRACION,-327561.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-724166.00
3011400,OTROS GASTOS OPERATIVOS,-10986.00
3011100,OTROS INGRESOS,-336913.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-37346.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,977028.00
3021400,INGRESOS FINANCIEROS,0
3021500,COSTOS FINANCIEROS,-1926564.00
3021800,RECPAM,-527345.00
3021900,OTROS RESULTADOS,-43422.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-1520303.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,203784.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-1316519.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,423031.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-893488.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,2946264.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-2534116.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-534437.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-122289.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-18.27
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-18.27
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,18994390.00
8000003,EBIT,-622146.00
8000004,EBITDA,890845.00
8000005,CAPITAL DE TRABAJO,-6805718.00
8000006,LIQUIDEZ,0.60
8000007,SOLVENCIA,0.54
8000008,INMOVILIZACION DEL CAPITAL,0.80
8000009,RENTABILIDAD PATRIMONIO NETO,-0.08
8000010,RENTABILIDAD DEL ACTIVO,-0.03
8000011,ENDEUDAMIENTO,1.85
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.95
8000013,APALANCAMIENTO,2.85
8000014,MARGEN NETO / VENTAS,-0.09
8000015,DEUDA FINANCIERA / EBITDA,31.76
8000016,EBITDA / COSTOS FINANCIEROS,-0.46
8000017,ANALISIS DU-PONT,-0.09
