Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,225082
1122300,ACTIVOS FINANCIEROS CORRIENTES,3476574
1121999,CUENTAS POR COBRAR CORRIENTES,771044
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,906496
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,5379196
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,2797501
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,317159
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,131712025
1110200,ACTIVOS INTANGIBLES,24476
1119999,ACTIVO NO CORRIENTE,134851161
1999999,TOTAL DEL ACTIVO,140230357
2210999,CAPITAL,4630788
2210300,AJUSTE DE CAPITAL,62319463
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,161952
2211200,OTRAS RESERVAS,3270347
2211999,GANANCIAS RESERVADAS,3432299
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,0
2213999,RESULTADOS INTEGRALES,3864019
2299999,TOTAL PATRIMONIO NETO,74246569
2322200,PASIVOS FINANCIEROS CORRIENTES,21593817
2321999,CUENTAS POR PAGAR CORRIENTES,1635084
2322100,PASIVOS POR IMPUESTOS CORRIENTES,119337
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,837468
2339999,PASIVO CORRIENTE,24185706
2312300,PASIVOS FINANCIEROS NO CORRIENTES,19800661
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,21997421
2319999,PASIVO NO CORRIENTE,41798082
2399999,TOTAL DEL PASIVO,65983788
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,140230357
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,10848422
3000200,COSTO DE VENTAS Y/O SERVICIOS,-1835965
3009999,GANANCIA (PERDIDA) BRUTA,9012457
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-3138
3011300,OTROS GASTOS DE ADMINISTRACION,-1057953
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-637319
3011400,OTROS GASTOS OPERATIVOS,-222552
3011100,OTROS INGRESOS,199889
3011600,DEPRECIACIONES Y AMORTIZACIONES,-143591
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,7147793
3021400,INGRESOS FINANCIEROS,2807806
3021500,COSTOS FINANCIEROS,-23677146
3021800,RECPAM,21344435
3021900,OTROS RESULTADOS,-4343044
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,3279844
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,584175
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,3864019
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,3864019
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,7149623
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-11727383
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,4851943
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,274183
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,71117642
8000003,EBIT,6152235
8000004,EBITDA,6295826
8000005,CAPITAL DE TRABAJO,-18806510
8000006,LIQUIDEZ,0.222412197
8000007,SOLVENCIA,1.125224411
8000008,INMOVILIZACION DEL CAPITAL,0.961640289
8000009,RENTABILIDAD PATRIMONIO NETO,0.04512588
8000010,RENTABILIDAD DEL ACTIVO,0.023388973
8000011,ENDEUDAMIENTO,0.888711612
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.325748467
8000013,APALANCAMIENTO,1.888711612
8000014,MARGEN NETO / VENTAS,0.356182586
8000015,DEUDA FINANCIERA / EBITDA,6.574908201
8000016,EBITDA / COSTOS FINANCIEROS,-0.265903078
8000017,ANALISIS DU-PONT,0.044175024
