Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,84519.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,0
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,141278.00
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,225797.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,0
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,11168452.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,11168452.00
1999999,TOTAL DEL ACTIVO,11394249.00
2210999,CAPITAL,6420394.00
2210300,AJUSTE DE CAPITAL,3452551.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,0
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-156857237.00
2213999,RESULTADOS INTEGRALES,57056148.00
2299999,TOTAL PATRIMONIO NETO,-89928144.00
2322200,PASIVOS FINANCIEROS CORRIENTES,0
2321999,CUENTAS POR PAGAR CORRIENTES,2980068.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,0
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,496890.00
2339999,PASIVO CORRIENTE,3476958.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,97845435.00
2319999,PASIVO NO CORRIENTE,97845435.00
2399999,TOTAL DEL PASIVO,101322393.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,11394249.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,0
3000200,COSTO DE VENTAS Y/O SERVICIOS,0
3009999,GANANCIA (PERDIDA) BRUTA,0
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-1412428.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-1412428.00
3021400,INGRESOS FINANCIEROS,12633716.00
3021500,COSTOS FINANCIEROS,-1038131.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,-336061.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,9847096.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,9847096.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-1031293.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,8815803.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-7091536.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-92209.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,7259766.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,76021.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,-63204610.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,-3251161.00
8000006,LIQUIDEZ,0.06
8000007,SOLVENCIA,-0.89
8000008,INMOVILIZACION DEL CAPITAL,0.98
8000009,RENTABILIDAD PATRIMONIO NETO,-0.13
8000010,RENTABILIDAD DEL ACTIVO,0.86
8000011,ENDEUDAMIENTO,-1.13
8000012,ENDEUDAMIENTO A CORTO PLAZO,-0.04
8000013,APALANCAMIENTO,-0.13
8000014,MARGEN NETO / VENTAS,0
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,0
