Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,27.730.265
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,254.700
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,25.775.338
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",15.826.294
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,748.575
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,468.296
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,1.985.782
1110100,PROPIEDAD PLANTA Y EQUIPO,689.442
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",0
1110200,ACTIVOS INTANGIBLES,2.070.203
1122300,OTROS ACTIVOS FINANCIEROS,64.435
1122400,OTROS ACTIVOS NO FINANCIEROS,760.455
1999999,TOTAL DEL ACTIVO,76373785.00
2210999,CAPITAL,114.671
2210300,AJUSTE DE CAPITAL,30.114.285
2210500,APORTES NO CAPITALIZADOS,882.479
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,0
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-24.136.722
2213999,RESULTADOS INTEGRALES,-2.624.197
2299999,TOTAL PATRIMONIO NETO,4350516.00
2311000,DEPOSITOS,65.053.012
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,0
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",659.862
2311300,PROVISIONES,0
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,400
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,3.425.090
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,1.958.726
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,0
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,0
2322300,OTROS PASIVOS NO FINANCIEROS,926.179
2399999,TOTAL DEL PASIVO,72023269.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,76373785.00
3000100,INGRESOS POR INTERESES,22.507.089
3000200,EGRESOS POR INTERESES,-11.882.369
3000102,INGRESOS POR COMISIONES,1.946.377
3000201,EGRESOS POR COMISIONES,-383.146
3000101,CARGO POR INCOBRABILIDAD,-698.508
3009999,INGRESO OPERATIVO NETO,11489443.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-208487.00
3011300,OTROS GASTOS DE ADMINISTRACION,-17.312.029
3011600,DEPRECIACIONES Y AMORTIZACIONES,-2.222.545
3021800,RECPAM,-2.202.331
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-10455949.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-210.993
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,-10666942.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,8042745.00
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,-2624197.00
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,-23.880.895
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-1.880.950
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,4.538.792
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-21223053.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),7824235.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,0
8000006,LIQUIDEZ,0.85
8000007,SOLVENCIA,0.06
8000008,INMOVILIZACION DEL CAPITAL,0.04
8000009,RENTABILIDAD PATRIMONIO NETO,6.02
8000010,RENTABILIDAD DEL ACTIVO,-0.14
8000011,ENDEUDAMIENTO,16.56
8000013,APALANCAMIENTO,17.56
8000014,MARGEN NETO / INGRESOS,3.22
8000015,DEUDA FINANCIERA / EBITDA,0
8000017,ANALISIS DUPONT,-2.40
