Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Libra esterlina (Gran Bretaña),0,8319,0,0,0,0,1
Franco (Suiza),0,368,0,0,0,0,1
Real (Brasil),0,6017,0,0,0,0,1
Dólar (Canadá),0,527,0,0,0,0,1
N. Sol (Perú),0,16,0,0,0,0,1
Peso (Uruguay),0,284,0,0,0,0,1
Peso (Chile),0,8088,0,0,0,0,1
Euro (U.E.),0,52585.00,3412,0,0,0,1
Dólar (E.U.A.),109143,1292359,1428367,0,37613,0,1
Guaraní (Paraguay),0,246.00,0,0,0,0,1
