Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,61463741.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,574038438.00
1121999,CUENTAS POR COBRAR CORRIENTES,298083750.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,10372720.00
1120100,INVENTARIOS CORRIENTES,193185447.00
1139999,ACTIVO CORRIENTE,1137144096.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,1140172940.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,0
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,1140172940.00
1999999,TOTAL DEL ACTIVO,2277317036.00
2210999,CAPITAL,941572578.00
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,0
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,0
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,941572578.00
2322200,PASIVOS FINANCIEROS CORRIENTES,816009528.00
2321999,CUENTAS POR PAGAR CORRIENTES,19084671.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,131001663.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,123718110.00
2339999,PASIVO CORRIENTE,1089813972.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,27834260.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,218056226.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,40000.00
2319999,PASIVO NO CORRIENTE,245930486.00
2399999,TOTAL DEL PASIVO,1335744458.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,2277317036.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,4313657451.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-3722790781.00
3009999,GANANCIA (PERDIDA) BRUTA,590866670.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,0
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-653308569.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-62441899.00
3021400,INGRESOS FINANCIEROS,3241584.00
3021500,COSTOS FINANCIEROS,-105233059.00
3021800,RECPAM,114119751.00
3021900,OTROS RESULTADOS,1005120.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-49308503.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,1242565.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-48065938.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-48065938.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,3700999.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-107295429.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-25695702.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-129290132.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-3.2
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-3.2
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,989638516.00
8000003,EBIT,124714167.00
8000004,EBITDA,186707046.00
8000005,CAPITAL DE TRABAJO,47330124.00
8000006,LIQUIDEZ,1.04
8000007,SOLVENCIA,0.7
8000008,INMOVILIZACION DEL CAPITAL,0.5
8000009,RENTABILIDAD PATRIMONIO NETO,-0.05
8000010,RENTABILIDAD DEL ACTIVO,-0.02
8000011,ENDEUDAMIENTO,1.42
8000012,ENDEUDAMIENTO A CORTO PLAZO,1.16
8000013,APALANCAMIENTO,2.42
8000014,MARGEN NETO / VENTAS,-0.01
8000015,DEUDA FINANCIERA / EBITDA,4.52
8000016,EBITDA / COSTOS FINANCIEROS,-1.77
8000017,ANALISIS DU-PONT,-0.05
