Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,259844820.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,460107077.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,235243799.00
1139999,ACTIVO CORRIENTE,955195696.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,130814296.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,4687099559.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,5123521.00
1110200,ACTIVOS INTANGIBLES,135718784.00
1119999,ACTIVO NO CORRIENTE,4958756160.00
1999999,TOTAL DEL ACTIVO,5913951856.00
2210999,CAPITAL,47919334.00
2210300,AJUSTE DE CAPITAL,747171153.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,3569388002.00
2211100,RESERVA LEGAL,40627326.00
2211200,OTRAS RESERVAS,703809414.00
2211999,GANANCIAS RESERVADAS,744436740.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-4582356923.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,526558306.00
2322200,PASIVOS FINANCIEROS CORRIENTES,850174417.00
2321999,CUENTAS POR PAGAR CORRIENTES,283247650.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,38933583.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,96026753.00
2339999,PASIVO CORRIENTE,1268382403.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,2967058914.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,868684311.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,283267922.00
2319999,PASIVO NO CORRIENTE,4119011147.00
2399999,TOTAL DEL PASIVO,5387393550.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,5913951856.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,2016696987.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-1554865217.00
3009999,GANANCIA (PERDIDA) BRUTA,461831770.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-199685388.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-302652760.00
3011400,OTROS GASTOS OPERATIVOS,-386635.00
3011100,OTROS INGRESOS,-128472870.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-8361464.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-177727347.00
3021400,INGRESOS FINANCIEROS,469940947.00
3021500,COSTOS FINANCIEROS,-1994744798.00
3021800,RECPAM,1738290755.00
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,35759557.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-104335035.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-68575478.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-68575478.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,201924302.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-640875591.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-693091450.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-1132042739.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-1.43
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-1.43
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,595133784.00
8000003,EBIT,-48867842.00
8000004,EBITDA,557349361.00
8000005,CAPITAL DE TRABAJO,-313186707.00
8000006,LIQUIDEZ,0.75
8000007,SOLVENCIA,0.10
8000008,INMOVILIZACION DEL CAPITAL,0.84
8000009,RENTABILIDAD PATRIMONIO NETO,0.06
8000010,RENTABILIDAD DEL ACTIVO,0.01
8000011,ENDEUDAMIENTO,10.23
8000012,ENDEUDAMIENTO A CORTO PLAZO,2.41
8000013,APALANCAMIENTO,11.23
8000014,MARGEN NETO / VENTAS,-0.03
8000015,DEUDA FINANCIERA / EBITDA,6.85
8000016,EBITDA / COSTOS FINANCIEROS,-0.28
8000017,ANALISIS DU-PONT,0.07
