Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,1526701.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,116918528.00
1121999,CUENTAS POR COBRAR CORRIENTES,6287118.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,17528826.00
1120100,INVENTARIOS CORRIENTES,458526.00
1139999,ACTIVO CORRIENTE,142719699.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,839633362.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,206033.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,1086380.00
1110200,ACTIVOS INTANGIBLES,5255573.00
1119999,ACTIVO NO CORRIENTE,846181348.00
1999999,TOTAL DEL ACTIVO,988901047.00
2210999,CAPITAL,373340.00
2210300,AJUSTE DE CAPITAL,75613898.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,965000.00
2211100,RESERVA LEGAL,16833006.00
2211200,OTRAS RESERVAS,578365709.00
2211999,GANANCIAS RESERVADAS,595198715.00
2211300,INTERESES NO CONTROLANTES,7650317.00
2212999,RESULTADOS NO ASIGNADOS,-96252072.00
2213999,RESULTADOS INTEGRALES,-27306156.00
2299999,TOTAL PATRIMONIO NETO,556243042.00
2322200,PASIVOS FINANCIEROS CORRIENTES,47467184.00
2321999,CUENTAS POR PAGAR CORRIENTES,283243.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,0
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,2315829.00
2339999,PASIVO CORRIENTE,50066256.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,203890321.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,177495007.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,1206421.00
2319999,PASIVO NO CORRIENTE,382591749.00
2399999,TOTAL DEL PASIVO,432658005.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,988901047.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,32705814.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-1249109.00
3009999,GANANCIA (PERDIDA) BRUTA,31456705.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-656574.00
3011300,OTROS GASTOS DE ADMINISTRACION,-6419697.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-1036683.00
3011400,OTROS GASTOS OPERATIVOS,-370395.00
3011100,OTROS INGRESOS,614507.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-72088.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,23515775.00
3021400,INGRESOS FINANCIEROS,20149268.00
3021500,COSTOS FINANCIEROS,-11848786.00
3021800,RECPAM,109121574.00
3021900,OTROS RESULTADOS,-302503578.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-161565747.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,66057097.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-95508650.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,24772849.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-70735801.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-167116884.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,186588199.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-22062028.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-2590713.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-257.81
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-257.81
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,626978843.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,92653443.00
8000006,LIQUIDEZ,2.85
8000007,SOLVENCIA,1.29
8000008,INMOVILIZACION DEL CAPITAL,0.86
8000009,RENTABILIDAD PATRIMONIO NETO,-0.27
8000010,RENTABILIDAD DEL ACTIVO,-0.16
8000011,ENDEUDAMIENTO,0.78
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.09
8000013,APALANCAMIENTO,1.78
8000014,MARGEN NETO / VENTAS,-2.16
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,-0.29
