Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,665664696.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,9481399967.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,2865609913.00
1120100,INVENTARIOS CORRIENTES,20064490990.00
1139999,ACTIVO CORRIENTE,33077165566.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,15488944169.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,0
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,15488944169.00
1999999,TOTAL DEL ACTIVO,48566109735.00
2210999,CAPITAL,145069464.00
2210300,AJUSTE DE CAPITAL,13080718033.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,86681037.00
2211100,RESERVA LEGAL,1314918448.00
2211200,OTRAS RESERVAS,16492911959.00
2211999,GANANCIAS RESERVADAS,17807830407.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,270924802.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,31391223743.00
2322200,PASIVOS FINANCIEROS CORRIENTES,5658209456.00
2321999,CUENTAS POR PAGAR CORRIENTES,7006336188.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,1195366655.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,0
2339999,PASIVO CORRIENTE,13859912299.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,3019973693.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,295000000.00
2319999,PASIVO NO CORRIENTE,3314973693.00
2399999,TOTAL DEL PASIVO,17174885992.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,48566109735.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,59617255930.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-50707335053.00
3009999,GANANCIA (PERDIDA) BRUTA,8909920877.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-587820632.00
3011300,OTROS GASTOS DE ADMINISTRACION,-858918520.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-3205645234.00
3011400,OTROS GASTOS OPERATIVOS,-221124281.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,4036412210.00
3021400,INGRESOS FINANCIEROS,912581688.00
3021500,COSTOS FINANCIEROS,-2991219908.00
3021800,RECPAM,672519159.00
3021900,OTROS RESULTADOS,-3262942131.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-632648982.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,903573784.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,270924802.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,270924802.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,270924802.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,1849679700.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,1842258671.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,2825156807.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,6517095178.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,1.87
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,1.87
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,33566993011.00
8000003,EBIT,4036412210.00
8000004,EBITDA,854698099.00
8000005,CAPITAL DE TRABAJO,19217253267.00
8000006,LIQUIDEZ,2.39
8000007,SOLVENCIA,1.83
8000008,INMOVILIZACION DEL CAPITAL,0.32
8000009,RENTABILIDAD PATRIMONIO NETO,0.01
8000010,RENTABILIDAD DEL ACTIVO,0.01
8000011,ENDEUDAMIENTO,0.55
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.44
8000013,APALANCAMIENTO,1.55
8000014,MARGEN NETO / VENTAS,0.00
8000015,DEUDA FINANCIERA / EBITDA,6.62
8000016,EBITDA / COSTOS FINANCIEROS,-0.29
8000017,ANALISIS DU-PONT,0.01
8000027,PRUEBA ACIDA,0.94
8000028,COBERTURA DE GASTOS FINANCIEROS,-1.35
8000029,ROTACION DE ACTIVOS,1.23
