Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,161482.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,11813129.00
1121999,CUENTAS POR COBRAR CORRIENTES,163434211.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,53161419.00
1139999,ACTIVO CORRIENTE,228570241.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,128.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,1100601.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,36277590.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,36634848.00
1110200,ACTIVOS INTANGIBLES,6041590.00
1119999,ACTIVO NO CORRIENTE,80054757.00
1999999,TOTAL DEL ACTIVO,308624998.00
2210999,CAPITAL,40000.00
2210300,AJUSTE DE CAPITAL,727612.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,990059.00
2211200,OTRAS RESERVAS,68605204.00
2211999,GANANCIAS RESERVADAS,69595263.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,13842795.00
2213999,RESULTADOS INTEGRALES,10376515.00
2299999,TOTAL PATRIMONIO NETO,94582185.00
2322200,PASIVOS FINANCIEROS CORRIENTES,71892415.00
2321999,CUENTAS POR PAGAR CORRIENTES,89388810.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,158457.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,5888193.00
2339999,PASIVO CORRIENTE,167327875.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,21680823.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,3947687.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,20933939.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,152489.00
2319999,PASIVO NO CORRIENTE,46714938.00
2399999,TOTAL DEL PASIVO,214042813.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,308624998.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,69308329.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-43600154.00
3009999,GANANCIA (PERDIDA) BRUTA,25708175.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-62112.00
3011300,OTROS GASTOS DE ADMINISTRACION,-4171719.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-7463831.00
3011400,OTROS GASTOS OPERATIVOS,-497600.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-373850.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,13139063.00
3021400,INGRESOS FINANCIEROS,0
3021500,COSTOS FINANCIEROS,-3063231.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,7527206.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,17603038.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-5954887.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,11648151.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,11648151.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,56682563.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,68330714.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,3058448.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-11184166.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,6951736.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-1173982.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,77.52
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,77.52
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,25476368.00
8000003,EBIT,20666269.00
8000004,EBITDA,21040119.00
8000005,CAPITAL DE TRABAJO,61242366.00
8000006,LIQUIDEZ,1.37
8000007,SOLVENCIA,0.44
8000008,INMOVILIZACION DEL CAPITAL,0.26
8000009,RENTABILIDAD PATRIMONIO NETO,0.19
8000010,RENTABILIDAD DEL ACTIVO,0.04
8000011,ENDEUDAMIENTO,2.26
8000012,ENDEUDAMIENTO A CORTO PLAZO,1.77
8000013,APALANCAMIENTO,3.26
8000014,MARGEN NETO / VENTAS,0.99
8000015,DEUDA FINANCIERA / EBITDA,4.45
8000016,EBITDA / COSTOS FINANCIEROS,-6.87
8000017,ANALISIS DU-PONT,0.12
8000027,PRUEBA ACIDA,1.05
8000028,COBERTURA DE GASTOS FINANCIEROS,-4.29
8000029,ROTACION DE ACTIVOS,0.22
