Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,24840068
1122300,ACTIVOS FINANCIEROS CORRIENTES,76630066
1121999,CUENTAS POR COBRAR CORRIENTES,158603395
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,14594129
1120100,INVENTARIOS CORRIENTES,266355622
1139999,ACTIVO CORRIENTE,541023280
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,2876430
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,429760495
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,58619209
1110200,ACTIVOS INTANGIBLES,3960395
1119999,ACTIVO NO CORRIENTE,495216529
1999999,TOTAL DEL ACTIVO,1036239809
2210999,CAPITAL,500000
2210300,AJUSTE DE CAPITAL,133940451
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,21092903
2211200,OTRAS RESERVAS,360002285
2211999,GANANCIAS RESERVADAS,381095188
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,32923318
2213999,RESULTADOS INTEGRALES,669268
2299999,TOTAL PATRIMONIO NETO,549128225
2322200,PASIVOS FINANCIEROS CORRIENTES,77788747
2321999,CUENTAS POR PAGAR CORRIENTES,252880639
2322100,PASIVOS POR IMPUESTOS CORRIENTES,15165085
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,43777739
2339999,PASIVO CORRIENTE,389612210
2312300,PASIVOS FINANCIEROS NO CORRIENTES,8195775
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,81969457
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,7334142
2319999,PASIVO NO CORRIENTE,97499374
2399999,TOTAL DEL PASIVO,487111584
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,1036239809
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,1800473266
3000200,COSTO DE VENTAS Y/O SERVICIOS,-1297770856
3009999,GANANCIA (PERDIDA) BRUTA,502702410
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-365911
3011300,OTROS GASTOS DE ADMINISTRACION,-37680728
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-401224037
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,499757
3011600,DEPRECIACIONES Y AMORTIZACIONES,-31507093
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,32424398
3021400,INGRESOS FINANCIEROS,5634267
3021500,COSTOS FINANCIEROS,-24717105
3021800,RECPAM,22381109
3021900,OTROS RESULTADOS,8065245
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,43787914
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-10864596
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,32923318
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,32923318
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,669268
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,33592586
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-25842847
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-27517338
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,48557242
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-4802943
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,65.85
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,65.85
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,525004561
8000003,EBIT,-24717105
8000004,EBITDA,-30351372
8000005,CAPITAL DE TRABAJO,151411070
8000006,LIQUIDEZ,1.39
8000007,SOLVENCIA,1.13
8000008,INMOVILIZACION DEL CAPITAL,0.48
8000009,RENTABILIDAD PATRIMONIO NETO,0.06
8000010,RENTABILIDAD DEL ACTIVO,0.03
8000011,ENDEUDAMIENTO,0.89
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.71
8000013,APALANCAMIENTO,1.89
8000014,MARGEN NETO / VENTAS,0.02
8000015,DEUDA FINANCIERA / EBITDA,-2.83
8000016,EBITDA / COSTOS FINANCIEROS,1.23
8000017,ANALISIS DU-PONT,0.06
8000027,PRUEBA ACIDA,0.70
8000028,COBERTURA DE GASTOS FINANCIEROS,-1.31
8000029,ROTACION DE ACTIVOS,1.74
