Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,129821623.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,2112909.00
1121999,CUENTAS POR COBRAR CORRIENTES,2013956774.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,1231058638.00
1139999,ACTIVO CORRIENTE,3376949944.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,84635.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,4818238878.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,595233335.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,5413556848.00
1999999,TOTAL DEL ACTIVO,8790506792.00
2210999,CAPITAL,10000000.00
2210300,AJUSTE DE CAPITAL,274854121.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,56970824.00
2211200,OTRAS RESERVAS,2407571944.00
2211999,GANANCIAS RESERVADAS,2464542768.00
2211300,INTERESES NO CONTROLANTES,19643961.00
2212999,RESULTADOS NO ASIGNADOS,187788030.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,2956828880.00
2322200,PASIVOS FINANCIEROS CORRIENTES,925749006.00
2321999,CUENTAS POR PAGAR CORRIENTES,1447303965.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,38504631.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,507661684.00
2339999,PASIVO CORRIENTE,2919219286.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,464490205.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,449353506.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,1392016804.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,608598111.00
2319999,PASIVO NO CORRIENTE,2914458626.00
2399999,TOTAL DEL PASIVO,5833677912.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,8790506792.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,6692595610.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-5792339273.00
3009999,GANANCIA (PERDIDA) BRUTA,900256337.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-44283461.00
3011300,OTROS GASTOS DE ADMINISTRACION,-143649986.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-321778614.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,7153214.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-204450487.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,193247003.00
3021400,INGRESOS FINANCIEROS,0
3021500,COSTOS FINANCIEROS,-66049787.00
3021800,RECPAM,89951225.00
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,217148441.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-36895920.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,180252521.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,180252521.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,725388595.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-435408081.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-275637254.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,14343260.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,1.88
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,1.88
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,620283484.00
8000003,EBIT,186093789.00
8000004,EBITDA,390544276.00
8000005,CAPITAL DE TRABAJO,457730658.00
8000006,LIQUIDEZ,1.16
8000007,SOLVENCIA,0.51
8000008,INMOVILIZACION DEL CAPITAL,0.62
8000009,RENTABILIDAD PATRIMONIO NETO,0.12
8000010,RENTABILIDAD DEL ACTIVO,0.02
8000011,ENDEUDAMIENTO,1.97
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.99
8000013,APALANCAMIENTO,2.97
8000014,MARGEN NETO / VENTAS,0.03
8000015,DEUDA FINANCIERA / EBITDA,3.56
8000016,EBITDA / COSTOS FINANCIEROS,-5.91
8000017,ANALISIS DU-PONT,0.07
