Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,10059165.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,284309.00
1121999,CUENTAS POR COBRAR CORRIENTES,75810615.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,21987744.00
1120100,INVENTARIOS CORRIENTES,106554262.00
1139999,ACTIVO CORRIENTE,214696095.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,2438954.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,154035.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,359059359.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,7513143.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,369165491.00
1999999,TOTAL DEL ACTIVO,583861586.00
2210999,CAPITAL,148512.82
2210300,AJUSTE DE CAPITAL,1998718.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,58052931.16
2211100,RESERVA LEGAL,79909.00
2211200,OTRAS RESERVAS,71546830.03
2211999,GANANCIAS RESERVADAS,71626739.03
2211300,INTERESES NO CONTROLANTES,7267983.00
2212999,RESULTADOS NO ASIGNADOS,-70582833.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,68512051.00
2322200,PASIVOS FINANCIEROS CORRIENTES,204753344.00
2321999,CUENTAS POR PAGAR CORRIENTES,63897189.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,3637433.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,11542908.00
2339999,PASIVO CORRIENTE,283830874.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,225572864.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,821970.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,3948541.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,1175286.00
2319999,PASIVO NO CORRIENTE,231518661.00
2399999,TOTAL DEL PASIVO,515349535.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,583861586.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,78911422.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-61204776.00
3009999,GANANCIA (PERDIDA) BRUTA,17706646.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-14568028.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-9502350.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,683055.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-5680677.00
3021400,INGRESOS FINANCIEROS,1802111.00
3021500,COSTOS FINANCIEROS,-28531485.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,385168.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-32024883.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,7398160.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-24626723.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,19684601.62
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-4942121.38
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-10653239.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-25994485.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-24437324.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-61085048.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,69353218.07
8000003,EBIT,-5680677.00
8000004,EBITDA,12279400.00
8000005,CAPITAL DE TRABAJO,-69134779.00
8000006,LIQUIDEZ,0.76
8000007,SOLVENCIA,0.13
8000008,INMOVILIZACION DEL CAPITAL,0.63
8000009,RENTABILIDAD PATRIMONIO NETO,-0.46
8000010,RENTABILIDAD DEL ACTIVO,-0.05
8000011,ENDEUDAMIENTO,7.52
8000012,ENDEUDAMIENTO A CORTO PLAZO,4.14
8000013,APALANCAMIENTO,8.52
8000014,MARGEN NETO / VENTAS,-0.06
8000015,DEUDA FINANCIERA / EBITDA,35.04
8000016,EBITDA / COSTOS FINANCIEROS,-0.43
8000017,ANALISIS DU-PONT,-0.47
