Nro,Rubro,Monto
1122500,CAJA Y BANCOS,243976415.00
1122300,INVERSIONES,0
1121999,CREDITOS POR VENTAS,3402570531.00
1120100,BIENES DE CAMBIO,0
1122400,OTROS ACTIVOS CORRIENTES,17297258.00
1139999,ACTIVO CORRIENTE,3663844204.00
1112400,INVERSIONES DE LARGO PLAZO,0
1111999,CREDITOS DE LARGO PLAZO,1168673348.00
1110100,BIENES DE USO,180377235.00
1110200,BIENES INTANGIBLES,0
1112500,OTROS ACTIVOS NO CORRIENTES,26731485.00
1119999,ACTIVO NO CORRIENTE,1375782068.00
1999999,TOTAL DEL ACTIVO,5039626272.00
2322200,DEUDAS FINANCIERAS,3280464690.00
2321999,DEUDAS COMERCIALES,184131232.00
2322100,DEUDAS IMPOSITIVAS/PREVISIONALES,25695042.00
2322300,OTRAS DEUDAS,50626702.00
2339999,PASIVO CORRIENTE,3540917666.00
2312300,DEUDAS FINANCIERAS DE LARGO PLAZO,1288296658.00
2311999,DEUDAS COMERCIALES DE LARGO PLAZO,8229510.00
2312200,DEUDAS IMPOSITIVAS/PREVISIONALES DE LARGO PLAZO,0
2312400,OTRAS DEUDAS DE LARGO PLAZO,0
2319999,PASIVO NO CORRIENTE,1296526168.00
2399999,TOTAL DEL PASIVO,4837443834.00
2400000,PARTICIPACION DE TERCEROS EN SOCIEDADES CONTROLADAS,0
2210999,CAPITAL,60322000.00
2210300,AJUSTE DE CAPITAL,61773538.00
2210500,APORTES IRREVOCABLES,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,362442.00
2211200,OTRAS RESERVAS,6886407.00
2211999,GANANCIAS RESERVADAS,7248849.00
2212999,RESULTADOS NO ASIGNADOS,72838051.00
2213100,REVALUACIONES TECNICAS CONTABLES,0
2299999,TOTAL PATRIMONIO NETO,202182438.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,5039626272.00
3000100,VENTAS NETAS,1595076225.00
3000200,COSTO DE VENTAS,-1250952083.00
3009999,GANANCIA (PERDIDA) BRUTA,344124142.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-380000.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-31126836.00
3011300,OTROS GASTOS DE ADMINISTRACION,-20890727.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-221857022.00
3011400,OTROS GASTOS OPERATIVOS,10981428.00
3049999,GANANCIA (PERDIDA) ORDINARIA,80850985.00
3021501,RDOS FINANCIEROS GENERADOS POR ACTIVOS,91768847.00
3021502,RDOS FINANCIEROS GENERADOS POR PASIVOS,0
3021800,RECPAM,-59770427.00
3061202,PARTICIPACION DE TERCEROS EN SOCIEDADES CONTROLADAS,0
3061900,RESULTADOS EXTRAORDINARIOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,112849405.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-40011354.00
3099999,GANANCIA (PERDIDA) DEL EJERCICIO,72838051.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,0
3241200,TOTAL DE ACTIVIDADES DE INVERSION,0
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,0
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,0
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),7248849.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,122926538.00
8000006,LIQUIDEZ,1.03
8000007,SOLVENCIA,0.04
8000008,INMOVILIZACION DEL CAPITAL,0.27
8000009,RENTABILIDAD PATRIMONIO NETO,0.70
8000010,RENTABILIDAD DEL ACTIVO,0.01
8000011,ENDEUDAMIENTO,23.93
8000012,ENDEUDAMIENTO A CORTO PLAZO,17.51
8000013,APALANCAMIENTO,24.93
8000014,MARGEN NETO / VENTAS,0.05
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / INTERESES PAGADOS NETOS,0
8000017,ANALISIS DUPONT,0.36
8000027,PRUEBA ACIDA,1.03
8000028,COBERTURA DE GASTOS FINANCIEROS,0
8000029,ROTACION DE ACTIVOS,0.32
