Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,236700.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,15240165.00
1121999,CUENTAS POR COBRAR CORRIENTES,922740.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,702546.00
1120100,INVENTARIOS CORRIENTES,17765.00
1139999,ACTIVO CORRIENTE,17119916.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,39789974.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,1035747.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,40825721.00
1999999,TOTAL DEL ACTIVO,57945637.00
2210999,CAPITAL,570267.00
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,62133.00
2211200,OTRAS RESERVAS,1274517.00
2211999,GANANCIAS RESERVADAS,1336650.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,2034111.00
2213999,RESULTADOS INTEGRALES,2098740.00
2299999,TOTAL PATRIMONIO NETO,6039768.00
2322200,PASIVOS FINANCIEROS CORRIENTES,250893.00
2321999,CUENTAS POR PAGAR CORRIENTES,1732241.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,2016.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,2291.00
2339999,PASIVO CORRIENTE,1987441.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,46170352.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,3419345.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,328731.00
2319999,PASIVO NO CORRIENTE,49918428.00
2399999,TOTAL DEL PASIVO,51905869.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,57945637.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,2044089.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-300166.00
3009999,GANANCIA (PERDIDA) BRUTA,1743923.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-198368.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,719645.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-522015.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,1743185.00
3021400,INGRESOS FINANCIEROS,958592.00
3021500,COSTOS FINANCIEROS,-906996.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,1794781.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-628173.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,1166608.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,1675525.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,2842133.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,4267425.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-20436697.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,15970105.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-199167.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,3197635.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,15132475.00
8000006,LIQUIDEZ,8.61
8000007,SOLVENCIA,0.12
8000008,INMOVILIZACION DEL CAPITAL,0.70
8000009,RENTABILIDAD PATRIMONIO NETO,0.39
8000010,RENTABILIDAD DEL ACTIVO,0.03
8000011,ENDEUDAMIENTO,8.59
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.33
8000013,APALANCAMIENTO,9.59
8000014,MARGEN NETO / VENTAS,1.39
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,0.30
