Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,12388979.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,460341580.00
1121999,CUENTAS POR COBRAR CORRIENTES,329524880.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,20028169.00
1120100,INVENTARIOS CORRIENTES,633710.00
1139999,ACTIVO CORRIENTE,822917318.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,60481315.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,44426119.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,1600000.00
1110200,ACTIVOS INTANGIBLES,684792.00
1119999,ACTIVO NO CORRIENTE,107192226.00
1999999,TOTAL DEL ACTIVO,930109544.00
2210999,CAPITAL,43241000.00
2210300,AJUSTE DE CAPITAL,157155861.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,9726925.00
2211200,OTRAS RESERVAS,279404868.00
2211999,GANANCIAS RESERVADAS,289131793.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-69043485.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,420485169.00
2322200,PASIVOS FINANCIEROS CORRIENTES,170390635.00
2321999,CUENTAS POR PAGAR CORRIENTES,93385460.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,11333696.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,6116334.00
2339999,PASIVO CORRIENTE,281226125.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,104620727.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,1528464.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,122249059.00
2319999,PASIVO NO CORRIENTE,228398250.00
2399999,TOTAL DEL PASIVO,509624375.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,930109544.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,182210396.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-41172376.00
3009999,GANANCIA (PERDIDA) BRUTA,141038020.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-83482100.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-53923166.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,835956.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-2430517.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,2038193.00
3021400,INGRESOS FINANCIEROS,2391574.00
3021500,COSTOS FINANCIEROS,0
3021800,RECPAM,42664340.00
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,47094107.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-67228696.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-20134589.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,14172406.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-5962183.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-69420257.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,41131669.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,26642316.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-1646272.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-465.64
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,426447352.00
8000003,EBIT,3593811.00
8000004,EBITDA,6024328.00
8000005,CAPITAL DE TRABAJO,541691193.00
8000006,LIQUIDEZ,2.93
8000007,SOLVENCIA,0.83
8000008,INMOVILIZACION DEL CAPITAL,0.12
8000009,RENTABILIDAD PATRIMONIO NETO,0.11
8000010,RENTABILIDAD DEL ACTIVO,0.05
8000011,ENDEUDAMIENTO,1.21
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.67
8000013,APALANCAMIENTO,2.21
8000014,MARGEN NETO / VENTAS,-0.03
8000015,DEUDA FINANCIERA / EBITDA,45.65
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,0.11
