Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,227330222.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,73552759008.00
1121999,CUENTAS POR COBRAR CORRIENTES,20239879168.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,2582366151.00
1120100,INVENTARIOS CORRIENTES,41663157595.00
1139999,ACTIVO CORRIENTE,138265492144.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,16191322886.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,1670482839.00
1110200,ACTIVOS INTANGIBLES,202444883.00
1119999,ACTIVO NO CORRIENTE,18064250608.00
1999999,TOTAL DEL ACTIVO,156329742752.00
2210999,CAPITAL,1200000.00
2210300,AJUSTE DE CAPITAL,295868209.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,4032299.00
2211200,OTRAS RESERVAS,1309431602.00
2211999,GANANCIAS RESERVADAS,1313463901.00
2211300,INTERESES NO CONTROLANTES,238012219.00
2212999,RESULTADOS NO ASIGNADOS,85698020581.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,87546564910.00
2322200,PASIVOS FINANCIEROS CORRIENTES,22551316432.00
2321999,CUENTAS POR PAGAR CORRIENTES,15471624045.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,13394443738.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,1008092412.00
2339999,PASIVO CORRIENTE,52425476627.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,12495132731.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,28726026.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,3833508128.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,334330.00
2319999,PASIVO NO CORRIENTE,16357701215.00
2399999,TOTAL DEL PASIVO,68783177842.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,156329742752.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,190833277455.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-116390628001.00
3009999,GANANCIA (PERDIDA) BRUTA,74442649454.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-4691930207.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-6644464453.00
3011400,OTROS GASTOS OPERATIVOS,-3327306910.00
3011100,OTROS INGRESOS,68365852.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,59847313736.00
3021400,INGRESOS FINANCIEROS,0
3021500,COSTOS FINANCIEROS,-11302549504.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,48544764232.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-15644684567.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,32900079665.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,32900079665.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,32900079665.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,0
3241200,TOTAL DE ACTIVIDADES DE INVERSION,0
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,0
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,0
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,0
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,85840015517.00
8000006,LIQUIDEZ,2.64
8000007,SOLVENCIA,1.27
8000008,INMOVILIZACION DEL CAPITAL,0.12
8000009,RENTABILIDAD PATRIMONIO NETO,0.75
8000010,RENTABILIDAD DEL ACTIVO,0.21
8000011,ENDEUDAMIENTO,0.79
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.60
8000013,APALANCAMIENTO,1.79
8000014,MARGEN NETO / VENTAS,0.17
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,0.38
8000027,PRUEBA ACIDA,1.84
8000028,COBERTURA DE GASTOS FINANCIEROS,-5.30
8000029,ROTACION DE ACTIVOS,1.22
