Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,3338964.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,6439382.00
1121999,CUENTAS POR COBRAR CORRIENTES,1031968.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,712338.00
1120100,INVENTARIOS CORRIENTES,4492472.00
1139999,ACTIVO CORRIENTE,16015124.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,797065.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,982218.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,1675031.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,3454314.00
1999999,TOTAL DEL ACTIVO,19469438.00
2210999,CAPITAL,12.00
2210300,AJUSTE DE CAPITAL,1156.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,14980.00
2211200,OTRAS RESERVAS,5396363.00
2211999,GANANCIAS RESERVADAS,5411343.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,3134911.00
2213999,RESULTADOS INTEGRALES,-5816615.00
2299999,TOTAL PATRIMONIO NETO,2730807.00
2322200,PASIVOS FINANCIEROS CORRIENTES,2823860.00
2321999,CUENTAS POR PAGAR CORRIENTES,12416606.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,0
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,167182.00
2339999,PASIVO CORRIENTE,15407648.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,947475.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,383508.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,1330983.00
2399999,TOTAL DEL PASIVO,16738631.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,19469438.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,5953137.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-3891556.00
3009999,GANANCIA (PERDIDA) BRUTA,2061581.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-117342.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-1666595.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,1194167.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,1471811.00
3021400,INGRESOS FINANCIEROS,375611.00
3021500,COSTOS FINANCIEROS,0
3021800,RECPAM,0
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,1847422.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,1287489.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,3134911.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-5950144.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-2815233.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,6308977.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-426460.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-2927129.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,2955388.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,1175023.00
8000003,EBIT,1471811.00
8000004,EBITDA,1950156.00
8000005,CAPITAL DE TRABAJO,607476.00
8000006,LIQUIDEZ,1.04
8000007,SOLVENCIA,0.16
8000008,INMOVILIZACION DEL CAPITAL,0.18
8000009,RENTABILIDAD PATRIMONIO NETO,0.95
8000010,RENTABILIDAD DEL ACTIVO,0.09
8000011,ENDEUDAMIENTO,6.13
8000012,ENDEUDAMIENTO A CORTO PLAZO,5.64
8000013,APALANCAMIENTO,7.13
8000014,MARGEN NETO / VENTAS,-0.47
8000015,DEUDA FINANCIERA / EBITDA,1.93
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,0.68
