Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,718125.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,12061604.00
1121999,CUENTAS POR COBRAR CORRIENTES,4167468.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,2421101.00
1120100,INVENTARIOS CORRIENTES,3335601.00
1139999,ACTIVO CORRIENTE,22703899.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,37892970.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,23166296.00
1110200,ACTIVOS INTANGIBLES,1067048.00
1119999,ACTIVO NO CORRIENTE,62126314.00
1999999,TOTAL DEL ACTIVO,84830213.00
2210999,CAPITAL,3119013.00
2210300,AJUSTE DE CAPITAL,45161537.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,2173814.00
2211200,OTRAS RESERVAS,7686369.00
2211999,GANANCIAS RESERVADAS,9860183.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,6308759.00
2213999,RESULTADOS INTEGRALES,-79841.00
2299999,TOTAL PATRIMONIO NETO,64369651.00
2322200,PASIVOS FINANCIEROS CORRIENTES,341881.00
2321999,CUENTAS POR PAGAR CORRIENTES,2759896.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,1223415.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,2717892.00
2339999,PASIVO CORRIENTE,7043084.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,1202355.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,28904.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,12027612.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,158607.00
2319999,PASIVO NO CORRIENTE,13417478.00
2399999,TOTAL DEL PASIVO,20460562.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,84830213.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,59265070.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-48086696.00
3009999,GANANCIA (PERDIDA) BRUTA,11178374.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-104538.00
3011300,OTROS GASTOS DE ADMINISTRACION,-1701068.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-2055369.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,-287684.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-1759577.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,5270138.00
3021400,INGRESOS FINANCIEROS,726680.00
3021500,COSTOS FINANCIEROS,-440797.00
3021800,RECPAM,9736.00
3021900,OTROS RESULTADOS,3380246.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,8946003.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-2718491.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,6227512.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-754073.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,5473439.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,2169510.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-2912966.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-1488062.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-2231518.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,1.99
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,59948269.00
8000003,EBIT,8941044.00
8000004,EBITDA,7181467.00
8000005,CAPITAL DE TRABAJO,15660815.00
8000006,LIQUIDEZ,3.22
8000007,SOLVENCIA,3.15
8000008,INMOVILIZACION DEL CAPITAL,0.73
8000009,RENTABILIDAD PATRIMONIO NETO,0.14
8000010,RENTABILIDAD DEL ACTIVO,0.11
8000011,ENDEUDAMIENTO,0.32
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.11
8000013,APALANCAMIENTO,1.32
8000014,MARGEN NETO / VENTAS,0.09
8000015,DEUDA FINANCIERA / EBITDA,0.22
8000016,EBITDA / COSTOS FINANCIEROS,-16.29
8000017,ANALISIS DU-PONT,0.14
