Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,2.491.872
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,121.076.975
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,556.061
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,124124908.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,400.630
1110100,PROPIEDADES PLANTAS Y EQUIPOS,5.509.240
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,2.058.306
1110200,ACTIVOS INTANGIBLES,1.406.691
1119999,ACTIVO NO CORRIENTE,9374867.00
1999999,TOTAL DEL ACTIVO,133499775.00
2210999,CAPITAL,28.240
2210300,AJUSTE DE CAPITAL,1.474.933
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,111.588
2211100,RESERVA LEGAL,74.509
2211200,OTRAS RESERVAS,25.391.426
2211999,GANANCIAS RESERVADAS,25465935.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,3.711.675
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,30792371.00
2322200,PASIVOS FINANCIEROS CORRIENTES,32.944.812
2321999,CUENTAS POR PAGAR CORRIENTES,61.426.189
2322100,PASIVOS POR IMPUESTOS CORRIENTES,3.604.898
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,3.161.961
2339999,PASIVO CORRIENTE,101137860.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,1.405.929
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,163.615
2319999,PASIVO NO CORRIENTE,1569544.00
2399999,TOTAL DEL PASIVO,102707404.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,133499775.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,33.501.923
3000200,COSTO DE VENTAS Y/O SERVICIOS,-7.860.976
3009999,GANANCIA (PERDIDA) BRUTA,25640947.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-11.989.846
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,-2.267.851
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-1.302.005
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,10081245.00
3021400,INGRESOS FINANCIEROS,0
3021500,COSTOS FINANCIEROS,0
3021800,RECPAM,-5.092.565
3021900,OTROS RESULTADOS,-23.757
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,4964923.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-1.416.166
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,3548757.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,3548757.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,0
3241200,TOTAL DE ACTIVIDADES DE INVERSION,0
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,0
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,0
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,1256.64
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,1256.64
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,26.797.341
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,22987048.00
8000006,LIQUIDEZ,1.23
8000007,SOLVENCIA,0.30
8000008,INMOVILIZACION DEL CAPITAL,0.07
8000009,RENTABILIDAD PATRIMONIO NETO,0.17
8000010,RENTABILIDAD DEL ACTIVO,0.04
8000011,ENDEUDAMIENTO,3.34
8000012,ENDEUDAMIENTO A CORTO PLAZO,3.28
8000013,APALANCAMIENTO,4.34
8000014,MARGEN NETO / VENTAS,0.11
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,0.16
