Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,5293316.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,23707380.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,1363987.00
1139999,ACTIVO CORRIENTE,30364683.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,870597.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,725896.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,96633123.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,1491626.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,99721242.00
1999999,TOTAL DEL ACTIVO,130085925.00
2210999,CAPITAL,4436448.00
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,897941.00
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,219911.00
2211200,OTRAS RESERVAS,1017867.00
2211999,GANANCIAS RESERVADAS,1237778.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,2810852.00
2213999,RESULTADOS INTEGRALES,17168666.00
2299999,TOTAL PATRIMONIO NETO,26551685.00
2322200,PASIVOS FINANCIEROS CORRIENTES,39109713.00
2321999,CUENTAS POR PAGAR CORRIENTES,9956071.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,0
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,480650.00
2339999,PASIVO CORRIENTE,49546434.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,48450241.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,747605.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,53309.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,4736651.00
2319999,PASIVO NO CORRIENTE,53987806.00
2399999,TOTAL DEL PASIVO,103534240.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,130085925.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,47382973.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-28140161.00
3009999,GANANCIA (PERDIDA) BRUTA,19242812.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-4161.00
3011300,OTROS GASTOS DE ADMINISTRACION,-1640529.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-2132970.00
3011400,OTROS GASTOS OPERATIVOS,-25211.00
3011100,OTROS INGRESOS,171397.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-122277.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,15489061.00
3021400,INGRESOS FINANCIEROS,265544.00
3021500,COSTOS FINANCIEROS,-2839782.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,-5966613.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,6948210.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-4137358.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,2810852.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,9747454.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,12558306.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,22758230.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-19687774.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,837284.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,3907740.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0.63
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0.63
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,15732619.00
8000003,EBIT,15582789.00
8000004,EBITDA,32917929.00
8000005,CAPITAL DE TRABAJO,-19181751.00
8000006,LIQUIDEZ,0.61
8000007,SOLVENCIA,0.26
8000008,INMOVILIZACION DEL CAPITAL,0.77
8000009,RENTABILIDAD PATRIMONIO NETO,0.33
8000010,RENTABILIDAD DEL ACTIVO,0.05
8000011,ENDEUDAMIENTO,3.90
8000012,ENDEUDAMIENTO A CORTO PLAZO,1.87
8000013,APALANCAMIENTO,4.90
8000014,MARGEN NETO / VENTAS,0.27
8000015,DEUDA FINANCIERA / EBITDA,2.66
8000016,EBITDA / COSTOS FINANCIEROS,-11.59
8000017,ANALISIS DU-PONT,0.26
