Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,3230778.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,5292807.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,249556.00
1120100,INVENTARIOS CORRIENTES,26873737.00
1139999,ACTIVO CORRIENTE,35646878.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,190881.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,43879566.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,56123560.00
1110200,ACTIVOS INTANGIBLES,608560.00
1119999,ACTIVO NO CORRIENTE,100802567.00
1999999,TOTAL DEL ACTIVO,136449445.00
2210999,CAPITAL,4517094.00
2210300,AJUSTE DE CAPITAL,28472693.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,578683.00
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,1915818.00
2211200,OTRAS RESERVAS,29970288.00
2211999,GANANCIAS RESERVADAS,31886106.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,45839188.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,111293764.00
2322200,PASIVOS FINANCIEROS CORRIENTES,8081619.00
2321999,CUENTAS POR PAGAR CORRIENTES,6706260.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,2942390.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,191055.00
2339999,PASIVO CORRIENTE,17921324.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,4293589.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,2940768.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,7234357.00
2399999,TOTAL DEL PASIVO,25155681.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,136449445.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,17552080.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-14140965.00
3009999,GANANCIA (PERDIDA) BRUTA,3411115.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-5753.00
3011300,OTROS GASTOS DE ADMINISTRACION,-905991.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-1041397.00
3011400,OTROS GASTOS OPERATIVOS,-21055.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-1215749.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,221170.00
3021400,INGRESOS FINANCIEROS,41657.00
3021500,COSTOS FINANCIEROS,-144055.00
3021800,RECPAM,1470714.00
3021900,OTROS RESULTADOS,238261.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,1827747.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-756213.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,1071534.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,1599551.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,2671085.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,2408390.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-472878.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-645108.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,1290404.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0.24
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0.24
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,0
8000003,EBIT,221170.00
8000004,EBITDA,1436919.00
8000005,CAPITAL DE TRABAJO,17725554.00
8000006,LIQUIDEZ,1.99
8000007,SOLVENCIA,4.42
8000008,INMOVILIZACION DEL CAPITAL,0.74
8000009,RENTABILIDAD PATRIMONIO NETO,0.03
8000010,RENTABILIDAD DEL ACTIVO,0.01
8000011,ENDEUDAMIENTO,0.23
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.16
8000013,APALANCAMIENTO,1.23
8000014,MARGEN NETO / VENTAS,0.15
8000015,DEUDA FINANCIERA / EBITDA,8.61
8000016,EBITDA / COSTOS FINANCIEROS,-9.97
8000017,ANALISIS DU-PONT,0.02
