Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,1214.00
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,0
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,1942587.00
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",0
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,89428.00
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,0
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,0
1110100,PROPIEDAD PLANTA Y EQUIPO,14253.00
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",0
1110200,ACTIVOS INTANGIBLES,190.00
1122300,OTROS ACTIVOS FINANCIEROS,10015.00
1122400,OTROS ACTIVOS NO FINANCIEROS,90565.00
1999999,TOTAL DEL ACTIVO,2148252.00
2210999,CAPITAL,79799.00
2210300,AJUSTE DE CAPITAL,238061.00
2210500,APORTES NO CAPITALIZADOS,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,6172.00
2211200,OTRAS RESERVAS,97686.00
2211999,GANANCIAS RESERVADAS,103858.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-37408.00
2213999,RESULTADOS INTEGRALES,-5213.00
2299999,TOTAL PATRIMONIO NETO,379097.00
2311000,DEPOSITOS,0
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,0
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",933013.00
2311300,PROVISIONES,13896.00
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,508690.00
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,0
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,185736.00
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,0
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,0
2322300,OTROS PASIVOS NO FINANCIEROS,127820.00
2399999,TOTAL DEL PASIVO,1769155.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,2148252.00
3000100,INGRESOS POR INTERESES,50712.00
3000200,EGRESOS POR INTERESES,-45557.00
3000102,INGRESOS POR COMISIONES,127469.00
3000201,EGRESOS POR COMISIONES,-32214.00
3000101,CARGO POR INCOBRABILIDAD,-20357.00
3009999,INGRESO OPERATIVO NETO,80053.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-1392.00
3011300,OTROS GASTOS DE ADMINISTRACION,-108474.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-2411.00
3021800,RECPAM,42214.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,9990.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-15203.00
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,-5213.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,-5213.00
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,-22240.00
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-571.00
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,22253.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-558.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-0.65
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-0.65
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),273386.00
8000003,EBIT,-31911.00
8000004,EBITDA,-29500.00
8000005,CAPITAL DE TRABAJO,222452.00
8000006,LIQUIDEZ,1.13
8000007,SOLVENCIA,0.21
8000008,INMOVILIZACION DEL CAPITAL,0.01
8000009,RENTABILIDAD PATRIMONIO NETO,0.19
8000010,RENTABILIDAD DEL ACTIVO,0.00
8000011,ENDEUDAMIENTO,4.67
8000013,APALANCAMIENTO,5.67
8000014,MARGEN NETO / INGRESOS,13.61
8000015,DEUDA FINANCIERA / EBITDA,-55.17
8000017,ANALISIS DUPONT,0.03
