Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,16596.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,1858.00
1121999,CUENTAS POR COBRAR CORRIENTES,18396.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,3002.00
1139999,ACTIVO CORRIENTE,39852.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,15071.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,1370.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,176856.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,152552.00
1110200,ACTIVOS INTANGIBLES,65996.00
1119999,ACTIVO NO CORRIENTE,411845.00
1999999,TOTAL DEL ACTIVO,451697.00
2210999,CAPITAL,2165.00
2210300,AJUSTE DE CAPITAL,53307.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,-1757.00
2211100,RESERVA LEGAL,3098.00
2211200,OTRAS RESERVAS,214157.00
2211999,GANANCIAS RESERVADAS,217255.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,6347.00
2213999,RESULTADOS INTEGRALES,-2752.00
2299999,TOTAL PATRIMONIO NETO,274565.00
2322200,PASIVOS FINANCIEROS CORRIENTES,24840.00
2321999,CUENTAS POR PAGAR CORRIENTES,23467.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,2452.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,11365.00
2339999,PASIVO CORRIENTE,62124.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,70286.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,738.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,36372.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,7612.00
2319999,PASIVO NO CORRIENTE,115008.00
2399999,TOTAL DEL PASIVO,177132.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,451697.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,89055.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-37803.00
3009999,GANANCIA (PERDIDA) BRUTA,51252.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-10.00
3011300,OTROS GASTOS DE ADMINISTRACION,-5697.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-15661.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-20996.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,8888.00
3021400,INGRESOS FINANCIEROS,667.00
3021500,COSTOS FINANCIEROS,2022.00
3021800,RECPAM,2086.00
3021900,OTROS RESULTADOS,489.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,14152.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-7552.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,6600.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-1688.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,4912.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,33427.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-17783.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-4014.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,11630.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,3.06
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,3.06
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,276550.00
8000003,EBIT,8888.00
8000004,EBITDA,29884.00
8000005,CAPITAL DE TRABAJO,-22272.00
8000006,LIQUIDEZ,0.64
8000007,SOLVENCIA,1.55
8000008,INMOVILIZACION DEL CAPITAL,0.91
8000009,RENTABILIDAD PATRIMONIO NETO,0.05
8000010,RENTABILIDAD DEL ACTIVO,0.03
8000011,ENDEUDAMIENTO,0.65
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.23
8000013,APALANCAMIENTO,1.65
8000014,MARGEN NETO / VENTAS,0.06
8000015,DEUDA FINANCIERA / EBITDA,3.18
8000016,EBITDA / COSTOS FINANCIEROS,14.78
8000017,ANALISIS DU-PONT,0.05
