Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,252138
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,0
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,7108108
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",11258
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,107954
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,0
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,4941
1110100,PROPIEDAD PLANTA Y EQUIPO,36299
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",0
1110200,ACTIVOS INTANGIBLES,37280
1122300,OTROS ACTIVOS FINANCIEROS,291338
1122400,OTROS ACTIVOS NO FINANCIEROS,55972
1999999,TOTAL DEL ACTIVO,7905288
2210999,CAPITAL,369200
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS,960
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,66855
2211200,OTRAS RESERVAS,267419
2211999,GANANCIAS RESERVADAS,334274
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-9613
2213999,RESULTADOS INTEGRALES,385450
2299999,TOTAL PATRIMONIO NETO,1080271
2311000,DEPOSITOS,468921
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,15336
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",17686
2311300,PROVISIONES,0
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,4984433
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,69676
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,265624
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,102068
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,85558
2322300,OTROS PASIVOS FINANCIEROS,554549
2322400,OTROS PASIVOS NO FINANCIEROS,261166
2399999,TOTAL DEL PASIVO,6825017
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,7905288
3000100,INGRESOS POR INTERESES,3345705
3000200,EGRESOS POR INTERESES,-2405204
3000102,INGRESOS POR COMISIONES,87866
3000201,EGRESOS POR COMISIONES,-42638
3000101,CARGO POR INCOBRABILIDAD,-22338
3000102,RESULTADO NETO MEDICION INT. FINANCIEROS A VR CON CAMBIOS EN RESULTADOS,-26036
3000103,DIFERENCIA DE COTIZACION,6547
3000104,OTROS INGRESOS OPERATIVOS,146313
3009999,INGRESO OPERATIVO NETO,1090215
3011301,BENEFICIOS AL PERSONAL,-195589
3011300,OTROS GASTOS DE ADMINISTRACION,-185400
3011600,DEPRECIACIONES Y AMORTIZACIONES,-29795
3011700,OTROS GASTOS OPERATIVOS,-248581
3021800,RECPAM,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,430850
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-45400
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,385450
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,385450
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,1951698
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-43691
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,-1758267
3241400,EFECTO DE LAS VARIACIONES DEL TIPO DE CAMBIO,6547
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,156287
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,1
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,1
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),694821
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,0
8000006,LIQUIDEZ,0
8000007,SOLVENCIA,0.16
8000008,INMOVILIZACION DEL CAPITAL,0.01
8000009,RENTABILIDAD PATRIMONIO NETO,2.24
8000010,RENTABILIDAD DEL ACTIVO,0.05
8000011,ENDEUDAMIENTO,6.32
8000013,APALANCAMIENTO,7.32
8000014,MARGEN NETO / INGRESOS,2.32
8000015,DEUDA FINANCIERA / EBITDA,0
8000017,ANALISIS DUPONT,0.4
