Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,5794867.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,2693061.00
1121999,CUENTAS POR COBRAR CORRIENTES,2332621.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,142301.00
1139999,ACTIVO CORRIENTE,10962850.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,109410.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,6488325.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,54911373.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,1293021.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,62802129.00
1999999,TOTAL DEL ACTIVO,73764979.00
2210999,CAPITAL,439374.00
2210300,AJUSTE DE CAPITAL,16761457.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,3440168.00
2211200,OTRAS RESERVAS,28938143.00
2211999,GANANCIAS RESERVADAS,32378311.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,4486092.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,54065234.00
2322200,PASIVOS FINANCIEROS CORRIENTES,6382590.00
2321999,CUENTAS POR PAGAR CORRIENTES,500629.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,1044541.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,0
2339999,PASIVO CORRIENTE,7927760.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,1627170.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,241785.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,9903030.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,11771985.00
2399999,TOTAL DEL PASIVO,19699745.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,73764979.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,13363360.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-2934981.00
3009999,GANANCIA (PERDIDA) BRUTA,10428379.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-27808.00
3011300,OTROS GASTOS DE ADMINISTRACION,-1062587.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-706519.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-4953011.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,3678454.00
3021400,INGRESOS FINANCIEROS,74430.00
3021500,COSTOS FINANCIEROS,-876908.00
3021800,RECPAM,-908754.00
3021900,OTROS RESULTADOS,1744582.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,3711804.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-866084.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,2845720.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-1284173.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,1561547.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,7818232.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,67662.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-2104720.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,5781174.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,6.48
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,6.48
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,52503687.00
8000003,EBIT,3678454.00
8000004,EBITDA,8631465.00
8000005,CAPITAL DE TRABAJO,3035090.00
8000006,LIQUIDEZ,1.38
8000007,SOLVENCIA,2.74
8000008,INMOVILIZACION DEL CAPITAL,0.85
8000009,RENTABILIDAD PATRIMONIO NETO,0.07
8000010,RENTABILIDAD DEL ACTIVO,0.05
8000011,ENDEUDAMIENTO,0.36
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.15
8000013,APALANCAMIENTO,1.36
8000014,MARGEN NETO / VENTAS,0.12
8000015,DEUDA FINANCIERA / EBITDA,0.93
8000016,EBITDA / COSTOS FINANCIEROS,-9.84
8000017,ANALISIS DU-PONT,0.07
