Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,16.625.98600
1122300,ACTIVOS FINANCIEROS CORRIENTES,659.579.03300
1121999,CUENTAS POR COBRAR CORRIENTES,192.186.70300
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,75.108.61400
1120100,INVENTARIOS CORRIENTES,12.281.33200
1139999,ACTIVO CORRIENTE,955.781.66800
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,2.751.990.41900
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,2.170.46300
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,2.754.160.88200
1999999,TOTAL DEL ACTIVO,3.709.942.55000
2210999,CAPITAL,752.76100
2210300,AJUSTE DE CAPITAL,851.217.38700
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,-63.018.21400
2211100,RESERVA LEGAL,136.920.39400
2211200,OTRAS RESERVAS,1.447.971.98600
2211999,GANANCIAS RESERVADAS,1.584.892.38000
2211300,INTERESES NO CONTROLANTES,2.12100
2212999,RESULTADOS NO ASIGNADOS,154.342.66000
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,2.528.189.09500
2322200,PASIVOS FINANCIEROS CORRIENTES,93.532.01900
2321999,CUENTAS POR PAGAR CORRIENTES,103.006.41800
2322100,PASIVOS POR IMPUESTOS CORRIENTES,80.099.62900
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,8.350.40400
2339999,PASIVO CORRIENTE,284.988.47000
2312300,PASIVOS FINANCIEROS NO CORRIENTES,580.517.34200
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,191.339.44700
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,124.908.19600
2319999,PASIVO NO CORRIENTE,896.764.98500
2399999,TOTAL DEL PASIVO,1.181.753.45500
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,3.709.942.55000
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,690.208.27600
3000200,COSTO DE VENTAS Y/O SERVICIOS,-310.072.92000
3009999,GANANCIA (PERDIDA) BRUTA,380.135.35600
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-526.55300
3011300,OTROS GASTOS DE ADMINISTRACION,-20.673.58800
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-51.890.27700
3011400,OTROS GASTOS OPERATIVOS,-32.426.02600
3011100,OTROS INGRESOS,322.54100
3011600,DEPRECIACIONES Y AMORTIZACIONES,-2.131.52800
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,272.809.92500
3021400,INGRESOS FINANCIEROS,71.272.94500
3021500,COSTOS FINANCIEROS,-131.392.83200
3021800,RECPAM,-32.290.52800
3021900,OTROS RESULTADOS,50.463.21500
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,230.862.72500
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-76.520.00400
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,154.342.72100
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,154.342.72100
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,246.969.63100
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-86.239.70600
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-203.599.33800
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-42.869.41300
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,205.04
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,205.04
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,2.576.550.05700
8000003,EBIT,272.487.38400
8000004,EBITDA,367.210.19400
8000005,CAPITAL DE TRABAJO,670.793.19800
8000006,LIQUIDEZ,3.35
8000007,SOLVENCIA,2.14
8000008,INMOVILIZACION DEL CAPITAL,0.74
8000009,RENTABILIDAD PATRIMONIO NETO,0.09
8000010,RENTABILIDAD DEL ACTIVO,0.06
8000011,ENDEUDAMIENTO,0.47
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.11
8000013,APALANCAMIENTO,1.47
8000014,MARGEN NETO / VENTAS,0.22
8000015,DEUDA FINANCIERA / EBITDA,1.84
8000016,EBITDA / COSTOS FINANCIEROS,-2.79
8000017,ANALISIS DU-PONT,0.09
