Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,146180629.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,307501246.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,8676585.00
1139999,ACTIVO CORRIENTE,462358460.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,277015798.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,1818817070.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,130540542.00
1110200,ACTIVOS INTANGIBLES,41948192.00
1119999,ACTIVO NO CORRIENTE,2268321602.00
1999999,TOTAL DEL ACTIVO,2730680062.00
2210999,CAPITAL,89049.00
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,10157241.00
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,17085221.00
2211200,OTRAS RESERVAS,778409100.00
2211999,GANANCIAS RESERVADAS,795494321.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,268585054.00
2213999,RESULTADOS INTEGRALES,73877689.00
2299999,TOTAL PATRIMONIO NETO,1148203354.00
2322200,PASIVOS FINANCIEROS CORRIENTES,208374218.00
2321999,CUENTAS POR PAGAR CORRIENTES,330661470.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,162916029.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,15309970.00
2339999,PASIVO CORRIENTE,717261687.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,694830635.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,150419801.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,19964585.00
2319999,PASIVO NO CORRIENTE,865215021.00
2399999,TOTAL DEL PASIVO,1582476708.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,2730680062.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,601518932.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-135002504.00
3009999,GANANCIA (PERDIDA) BRUTA,466516428.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-16851540.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-35273181.00
3011400,OTROS GASTOS OPERATIVOS,-1962053.00
3011100,OTROS INGRESOS,22807533.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-149025701.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,286211486.00
3021400,INGRESOS FINANCIEROS,3236595.00
3021500,COSTOS FINANCIEROS,-14305095.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,-11924375.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,263218611.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-39712410.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,223506201.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,118593537.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,342099738.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,299241815.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-434721353.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,154174459.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,18694921.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,2509.90
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,2509.90
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,861157618.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,-254903227.00
8000006,LIQUIDEZ,0.64
8000007,SOLVENCIA,0.73
8000008,INMOVILIZACION DEL CAPITAL,0.83
8000009,RENTABILIDAD PATRIMONIO NETO,0.26
8000010,RENTABILIDAD DEL ACTIVO,0.10
8000011,ENDEUDAMIENTO,1.38
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.62
8000013,APALANCAMIENTO,2.38
8000014,MARGEN NETO / VENTAS,0.57
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,0.23
