Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,219628.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,125068.00
1121999,CUENTAS POR COBRAR CORRIENTES,133358.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,20657.00
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,498711.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,35219.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,2037136.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,131551.00
1110200,ACTIVOS INTANGIBLES,8089.00
1119999,ACTIVO NO CORRIENTE,2211995.00
1999999,TOTAL DEL ACTIVO,2710706.00
2210999,CAPITAL,3747.00
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,4604.00
2210900,OTROS CONCEPTOS DEL CAPITAL,60.00
2211100,RESERVA LEGAL,45512.00
2211200,OTRAS RESERVAS,447562.00
2211999,GANANCIAS RESERVADAS,493074.00
2211300,INTERESES NO CONTROLANTES,164573.00
2212999,RESULTADOS NO ASIGNADOS,242782.00
2213999,RESULTADOS INTEGRALES,457868.00
2299999,TOTAL PATRIMONIO NETO,1366708.00
2322200,PASIVOS FINANCIEROS CORRIENTES,314010.00
2321999,CUENTAS POR PAGAR CORRIENTES,159991.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,40067.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,5081.00
2339999,PASIVO CORRIENTE,519149.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,762347.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,37656.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,17238.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,7608.00
2319999,PASIVO NO CORRIENTE,824849.00
2399999,TOTAL DEL PASIVO,1343998.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,2710706.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,488328.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-261838.00
3009999,GANANCIA (PERDIDA) BRUTA,226490.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-42584.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,-74478.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,109428.00
3021400,INGRESOS FINANCIEROS,117385.00
3021500,COSTOS FINANCIEROS,-152349.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,74464.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,178300.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,252764.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,252764.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,266999.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,519763.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,316732.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-225048.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-13064.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,78620.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,56652.75
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,56652.75
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,898241.00
8000003,EBIT,74464.00
8000004,EBITDA,299445.00
8000005,CAPITAL DE TRABAJO,-20438.00
8000006,LIQUIDEZ,0.96
8000007,SOLVENCIA,1.02
8000008,INMOVILIZACION DEL CAPITAL,0.82
8000009,RENTABILIDAD PATRIMONIO NETO,0.22
8000010,RENTABILIDAD DEL ACTIVO,0.09
8000011,ENDEUDAMIENTO,0.98
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.38
8000013,APALANCAMIENTO,1.98
8000014,MARGEN NETO / VENTAS,1.06
8000015,DEUDA FINANCIERA / EBITDA,3.59
8000016,EBITDA / COSTOS FINANCIEROS,-1.97
8000017,ANALISIS DU-PONT,0.18
8000027,PRUEBA ACIDA,0.96
8000028,COBERTURA DE GASTOS FINANCIEROS,-0.72
8000029,ROTACION DE ACTIVOS,0.18
