Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,737451.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,288181.00
1121999,CUENTAS POR COBRAR CORRIENTES,2214263.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,1540981.00
1120100,INVENTARIOS CORRIENTES,2036699.00
1139999,ACTIVO CORRIENTE,6817575.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,1185.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,25280444.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,7023557.00
1110200,ACTIVOS INTANGIBLES,613685.00
1119999,ACTIVO NO CORRIENTE,32918871.00
1999999,TOTAL DEL ACTIVO,39736446.00
2210999,CAPITAL,3928.00
2210300,AJUSTE DE CAPITAL,6092.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,-5068.00
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,1082048.00
2211200,OTRAS RESERVAS,9105326.00
2211999,GANANCIAS RESERVADAS,10187374.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-141710.00
2213999,RESULTADOS INTEGRALES,5646183.00
2299999,TOTAL PATRIMONIO NETO,15696799.00
2322200,PASIVOS FINANCIEROS CORRIENTES,4616342.00
2321999,CUENTAS POR PAGAR CORRIENTES,3127716.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,289499.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,1836478.00
2339999,PASIVO CORRIENTE,9870035.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,11991667.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,7872.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,397756.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,1772317.00
2319999,PASIVO NO CORRIENTE,14169612.00
2399999,TOTAL DEL PASIVO,24039647.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,39736446.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,15105978.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-11028795.00
3009999,GANANCIA (PERDIDA) BRUTA,4077183.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-7146.00
3011300,OTROS GASTOS DE ADMINISTRACION,-587327.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-1579380.00
3011400,OTROS GASTOS OPERATIVOS,-521293.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-141848.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,1240189.00
3021400,INGRESOS FINANCIEROS,77432.00
3021500,COSTOS FINANCIEROS,-925602.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,187557.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,579576.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-793024.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,-213448.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-213448.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,3904826.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,3691378.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,3848192.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-5152149.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,1119636.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-184321.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-543.72
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-543.72
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,12007597.00
8000003,EBIT,1089109.00
8000004,EBITDA,3831673.00
8000005,CAPITAL DE TRABAJO,-3052460.00
8000006,LIQUIDEZ,0.69
8000007,SOLVENCIA,0.65
8000008,INMOVILIZACION DEL CAPITAL,0.83
8000009,RENTABILIDAD PATRIMONIO NETO,-0.02
8000010,RENTABILIDAD DEL ACTIVO,-0.01
8000011,ENDEUDAMIENTO,1.53
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.63
8000013,APALANCAMIENTO,2.53
8000014,MARGEN NETO / VENTAS,0.24
8000015,DEUDA FINANCIERA / EBITDA,4.33
8000016,EBITDA / COSTOS FINANCIEROS,-4.14
8000017,ANALISIS DU-PONT,-0.01
8000027,PRUEBA ACIDA,0.48
8000028,COBERTURA DE GASTOS FINANCIEROS,-1.34
8000029,ROTACION DE ACTIVOS,0.38
