Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,1738800.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,14020650.00
1121999,CUENTAS POR COBRAR CORRIENTES,0
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,15423672.00
1120100,INVENTARIOS CORRIENTES,104395100.00
1139999,ACTIVO CORRIENTE,135578222.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,8905195262.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,190396277.00
1110200,ACTIVOS INTANGIBLES,455412705.00
1119999,ACTIVO NO CORRIENTE,9551004244.00
1999999,TOTAL DEL ACTIVO,9686582466.00
2210999,CAPITAL,467433000.00
2210300,AJUSTE DE CAPITAL,6216442087.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,698542508.00
2210900,OTROS CONCEPTOS DEL CAPITAL,549318263.00
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,1278722932.00
2211999,GANANCIAS RESERVADAS,1278722932.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-7363687733.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,1846771057.00
2322200,PASIVOS FINANCIEROS CORRIENTES,0
2321999,CUENTAS POR PAGAR CORRIENTES,31924693.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,17293427.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,148301657.00
2339999,PASIVO CORRIENTE,197519777.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,95651400.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,7546640232.00
2319999,PASIVO NO CORRIENTE,7642291632.00
2399999,TOTAL DEL PASIVO,7839811409.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,9686582466.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,501935899.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-56480715.00
3009999,GANANCIA (PERDIDA) BRUTA,445455184.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-132818055.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-1129631399.00
3011400,OTROS GASTOS OPERATIVOS,-400759217.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-1217753487.00
3021400,INGRESOS FINANCIEROS,5713837076.00
3021500,COSTOS FINANCIEROS,-176361041.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,-349812118.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,3969910430.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,0
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,3969910430.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,3969910430.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,3969910430.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,4703388410.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,2297582994.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-6305964731.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,695006673.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,8.49
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,8.49
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,-7192528930.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,-61941555.00
8000006,LIQUIDEZ,0.69
8000007,SOLVENCIA,0.24
8000008,INMOVILIZACION DEL CAPITAL,0.99
8000009,RENTABILIDAD PATRIMONIO NETO,-1.49
8000010,RENTABILIDAD DEL ACTIVO,0.41
8000011,ENDEUDAMIENTO,4.25
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.11
8000013,APALANCAMIENTO,5.25
8000014,MARGEN NETO / VENTAS,7.91
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,2.15
8000027,PRUEBA ACIDA,0.16
8000028,COBERTURA DE GASTOS FINANCIEROS,6.90
8000029,ROTACION DE ACTIVOS,0.05
