Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,73309055.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,16574092660.00
1121999,CUENTAS POR COBRAR CORRIENTES,44527445029.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,1327187500.00
1120100,INVENTARIOS CORRIENTES,10059095643.00
1139999,ACTIVO CORRIENTE,72561129887.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,60690405720.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,2490723.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,8661051424.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,12891611269.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,82245559136.00
1999999,TOTAL DEL ACTIVO,154806689023.00
2210999,CAPITAL,2826487800.00
2210300,AJUSTE DE CAPITAL,31567399233.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,24954588276.00
2211100,RESERVA LEGAL,1236031398.00
2211200,OTRAS RESERVAS,12912009763.00
2211999,GANANCIAS RESERVADAS,14148041161.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-60078435486.00
2213999,RESULTADOS INTEGRALES,320813472.00
2299999,TOTAL PATRIMONIO NETO,13738894456.00
2322200,PASIVOS FINANCIEROS CORRIENTES,92097616349.00
2321999,CUENTAS POR PAGAR CORRIENTES,18248718383.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,238934023.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,8415396514.00
2339999,PASIVO CORRIENTE,119000665269.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,21620007284.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,446032631.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,1089383.00
2319999,PASIVO NO CORRIENTE,22067129298.00
2399999,TOTAL DEL PASIVO,141067794567.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,154806689023.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,51101372092.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-37245729277.00
3009999,GANANCIA (PERDIDA) BRUTA,13855642815.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-6146823148.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-11596919902.00
3011400,OTROS GASTOS OPERATIVOS,-2197041032.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-6085141267.00
3021400,INGRESOS FINANCIEROS,1231081112.00
3021500,COSTOS FINANCIEROS,-16496110229.00
3021800,RECPAM,807546292.00
3021900,OTROS RESULTADOS,-1863117511.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-22405741603.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,3818081214.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,-18587660389.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-18587660389.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-2883442.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-18590543831.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,605859532.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-1272799036.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-217704963.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-884644467.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-359.89
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,1663558539.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,-46439535382.00
8000006,LIQUIDEZ,0.61
8000007,SOLVENCIA,0.10
8000008,INMOVILIZACION DEL CAPITAL,0.53
8000009,RENTABILIDAD PATRIMONIO NETO,-2.41
8000010,RENTABILIDAD DEL ACTIVO,-0.12
8000011,ENDEUDAMIENTO,10.27
8000012,ENDEUDAMIENTO A CORTO PLAZO,8.66
8000013,APALANCAMIENTO,11.27
8000014,MARGEN NETO / VENTAS,-0.36
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,-1.35
8000027,PRUEBA ACIDA,0.53
8000028,COBERTURA DE GASTOS FINANCIEROS,0.37
8000029,ROTACION DE ACTIVOS,0.33
